Original,Translate_IT
"'Al Padre, al Figlio, a lo Spirito Santo',","Afferra il Padre, il Figlio e lo Spirito Santo"
"cominciò, 'gloria!', tutto 'l paradiso,","Tutto il Paradiso; a lui esulta ogni cosa,"
sì che m'inebrïava il dolce canto.,Così che sono stato ubriaco dal suono dolce.
Ciò ch'io vedeva mi sembiava un riso,"Un sorriso sembrava essere lo spazio del mondo,"
de l'universo; per che mia ebbrezza,Quello che ho visto... ha tirato fuori l'ubriachezza.
intrava per l'udire e per lo viso.,Attraverso l'occhio e l'orecchio nel fascino dello sguardo e del suono.
Oh gioia! oh ineffabile allegrezza!,Lussuria! Beatitudine innaturale!
oh vita intègra d'amore e di pace!,O pace e felicità!
oh sanza brama sicura ricchezza!,O serena ricchezza di desiderio e invidia!
Dinanzi a li occhi miei le quattro face,"Ho visto il fuoco che fluttuava ardentemente davanti a me,"
"stavano accese, e quella che pria venne",E quello dei quattro che era appena arrivato...
"incominciò a farsi più vivace,",Ho visto che si animava con uno splendore piu' alto.
"e tal ne la sembianza sua divenne,","E così simboleggia gli sguardi,"
"qual diverrebbe Iove, s'elli e Marte","Come Giove, si prese il suo glutine"
fossero augelli e cambiassersi penne.,Il rosso alto della fronte di Marte è vero.
"La provedenza, che quivi comparte",E ora il vincitore del bene eterno comandò:
"vice e officio, nel beato coro","La prudenza vi attribuisce il dovere e l'ufficio,"
"silenzio posto avea da ogne parte,",Che tutti i Selgen deliziavano.
"quand'ïo udi': “Se io mi trascoloro,","Allora ho sentito: ""Mi vedi più in alto infiammato,"
"non ti maravigliar, ché, dicend'io,",Non meravigliarti delle mie parole
vedrai trascolorar tutti costoro.,Tutti questi si infiammano.
"Quelli ch'usurpa in terra il luogo mio,","Colui che si vanta del mio trono sulla terra,"
"il luogo mio, il luogo mio che vaca","La sedia, la sedia su cui nessun pastore sveglia,"
"ne la presenza del Figliuol di Dio,","Davanti allo sguardo di Cristo, per la protezione dei suoi greggi,"
fatt'ha del cimitero mio cloaca,Ha trasformato la mia tomba in un bagno.
