Original,Translate_EN,Translate_IT_1
Di gran vantagio fu ’l carro prestato.,The chariot was readied in excellent fashion.,Il carro è stato preparato in modo eccellente.
"Venusso ben matin v’è su salita,","Early in the morning Venus climbed aboard,","La mattina presto Venere si arrampicò a bordo,"
E sì sacciate che’ell’era guernita,and you should know that she was well equipped,E dovresti sapere che era ben equipaggiata.
"E d’arco, e di brandon ben inpennato,","with a bow and a well-feathered torch,","con un arco e una torcia ben rifinita,"
E seco porta fuoco tenperato.,and with her she brought a well-tempered fire.,e con lei portò un fuoco ben temperato.
"Così da Ciceron sì s’è partita,",In this way she left Mount Cicerone,In questo modo lasciò il Monte Cicerone
E dritta all’oste del figluol n’è ita,and went straight to her son’s army,e andò dritto all'esercito di suo figlio
"Con suo’ colonbi, che ’l car’àn tirato.",with her doves that pulled the chariot.,con le colombe che hanno tirato la carrozza.
Lo Dio d’Amor si avea rotte le trieve,"The God of Love had broken the truce,","Il Dio dell'Amore aveva infranto la tregua,"
"Prima che Veno vi fosse arivata,","before Venus had arrived,","prima che Venere arrivasse,"
Ché troppo gli parea l’atender grieve.,for the wait seemed to him intolerable.,perché l'attesa gli sembrava intollerabile.
"Venùs dritta a lui sì se n’è andata,",Venus went straight to him,Venere andò dritto da lui
"Sì disse: «Figluol, non dottar, ché ’n brieve","and said: “My son, do not fear, for in no time","e disse: ""Figlio mio, non temere, perché in nessun tempo"
Questa forteza no’ avremo aterata.,we’ll have brought this fortress down.”,abbiamo portato questa fortezza giù.
