Original,Translate_EN,Translate_IT_1
"Lo Schifo, quando udìo quel romore,","When Resistance heard that reproach,","Quando la Resistenza sentì quel rimprovero,"
Conobe ben ched egli avea mispreso.,he knew very well that he had made a mistake.,Sapeva molto bene di aver commesso un errore.
"Sì disse: «Il Diavol ben m’avea sorpreso,","Thus he said: “The devil has deceived me,","Disse: ""Il diavolo mi ha ingannato,"
Quand’io a nessun uon mostrav’amore.,when I showed kindness to someone.,quando ho mostrato gentilezza a qualcuno.
"Ma s’i’, colui, che vene per lo Fiore,","But if I can catch the one who came for the Flower,","Ma se riesco a prendere colui che è venuto per il Fiore,"
"I’ ’l posso nel giardin tener mai preso,","and if I can keep him prisoner,","e se riesco a tenerlo prigioniero,"
"I’ sia unguanno per la gola inpeso,",may I be hanged by my neck,possa io essere appeso al mio collo
Sed i’ no ’l fo morir a gran dolore».,if I don’t make him die with great pain.”,se non lo faccio morire con grande dolore.
"Allor ricignia il viso e gli ochi torna,",Then he squints and rolls his eyes,Poi squints e rotola i suoi occhi
E troppo contra me tornò diverso:,and became quite horrible towards me:,ed è diventato abbastanza orribile verso di me:
Del Fior   guardar fortemente s’atorna.,he prepares to guard the Flower resolutely.,si prepara a custodire il Fiore risolutamente.
"Ai lasso, c’or mi fu canbiato il verso",Alas! How things have changed for me!,"Ahimè, come sono cambiate le cose per me!"
In poca d’or si ’l fatto mi bistorna,In such a short time my situation has so changed,In così poco tempo la mia situazione è così cambiata
Che d’abate tornai men ch’a converso.,that from abbot I fell to being less than the lowest brother.,che da abate sono caduto ad essere meno del fratello più basso.
