Original,Translate_EN,Translate_IT_1
"Tanto quanto Gesù andò per terra,","“As long as Christ went throughout the world,","Finche' Cristo e' andato in tutto il mondo,"
I suo’ disciepoli e’ non dimandaro,his disciples did not ask,i suoi discepoli non chiesero
"Né pane, né vino, anzi il guadagniaro","for bread or wine, but earned it","per pane o vino, ma me lo sono guadagnato"
"Co•le lor man, se•llo non erra.","with their hands, if the Scripture does not lie.","con le loro mani, se la Scrittura non mente."
"Co’ buon’ mastri divin’ ne feci guerra,",I fought over this with the good masters of theology,Ho combattuto per questo con i buoni maestri della teologia
Perch’e’ questo sermone predicaro,because they preached this sermon,perché predicavano questo sermone
"Al popolo a Parigi, e sì ’l provaro",to the people of Paris and backed it up with proof:,al popolo di Parigi e l'ha sostenuto con la prova:
"C’uon, ch’è truante, col Diavol s’afer[r]a.",that the man who lives on alms is in the devil’s clutches.,che l'uomo che vive in elemosina è nelle grinfie del diavolo.
"Ancor, po’ che Giesù si tornò in cielo,","Moreover, after Jesus returned to heaven,","Inoltre, dopo che Gesù ritornò in cielo,"
San Paolo predicava i conpagnioni,Saint Paul exhorted his companions,San Paolo esorta i suoi compagni
"Ched e’ sì non vendeser lo,",not to profit from the Gospel.,per non trarre profitto dal Vangelo.
"Sì ch’e’ di grazia fecier lor sermoni,","And so, without reward, they preached their sermons;","E così, senza ricompensa, predicarono i loro sermoni;"
"Di lor lavor vivieno, già no ’l vi cielo,","they lived from their work, and this I don’t conceal from you,","vissero dal loro lavoro, e questo io non vi nascondo,"
"Sanza fondar castella, né magioni.",without building castles or palaces.”,senza costruire castelli o palazzi.
