Original,Translate_EN,Translate_IT_1
"Così mi confortò il buon Amico,",In this way my good Friend comforted me;,In questo modo il mio buon amico mi consolava;
"Po’•ssi partì da me, sanza più dire.",then he left without another word.,poi se n'è andato senza un'altra parola.
"Allor mi comincià’ fort’ a giechire,",At that point I began to be very humble,A quel punto cominciai ad essere molto umile.
"Ver’ Mala-Bocca, il mi’ crudel nemico;","towards Bad Mouth, my cruel enemy.","verso la Mouth Cattiva, il mio crudele nemico."
"Lo Schifo i’ sì pregiava   men ch’un fico,","I didn’t give a hoot about Resistance,",Non me ne fregava niente della Resistenza.
Ch’egli avea gran talento di dormire;,who had a great desire to sleep;,che aveva un grande desiderio di dormire;
Vergognia si volea ben sofferire,Modesty truly wanted to abstain,Modestà voleva veramente astenersi
"Di gueregiarmi, per cierto vi dico,","from battling me, I tell you this for sure.","per avermi combattuto, te lo dico di sicuro."
"Ma’ e’ v’era Paura, la dottosa,","But there was Fear, the fearful one,","Ma c'era la paura, il timoroso,"
"C’udendomi parlar tutta tremava,","who, hearing me speak, trembled all over:","che, ascoltandomi parlare, tremava dappertutto:"
"Quella nonn-era punto dormigliosa,",that one was not sleepy at all;,che uno non era affatto assonnato;
"In ben guardar il Fior molto pensava,","she took great care in guarding the Flower,","si è presa molta cura nel custodire il Fiore,"
"Vie più che•ll’altre guardi’ era curiosa,","and she was more zealous than the other guards,","ed era più zelante delle altre guardie,"
Perciò che ben in lor non si fidava.,since she placed no trust in them at all.,da quando non si fidava affatto di loro.
