Original,Translate_EN,Translate_IT_1
"«Po’ mi convien ovrar di tradigione,","“Since it suits my purpose to act treacherously,","Dato che è il mio scopo agire perfidamente,"
"E a•tte pare, Amico, ch’i’ la faccia,","and you think, Friend, that I should,","E tu pensi, amico, che dovrei,"
"I’ la farò,   come ch’ella mi spiaccia,","I will do so, even though I find it unpleasant,","Lo farò, anche se lo trovo sgradevole,"
Per venir al di su di quel cagnione.,in order to overcome that ugly watch-dog.,per superare quel brutto cane da guardia.
"Ma sì•tti priego, gientil conpagnione,","But I beg you, noble companion,","Ma ti prego, nobile compagno,"
"Se•ssai alcuna via, che•ssia più avaccia,",if you know a quicker route,se conosci una via più veloce
"Per Malabocca e suo’ metter in caccia,",to chase away Bad Mouth and all his associates,per cacciare la Mouth Cattiva e tutti i suoi associati
"E trar Bellacoglienza di pregione,","and to release Fair Welcome from prison,","e di liberare Fair Benvenuto dalla prigione,"
"Che•ttu sì•lla mi insegni, ed i’ v’andrò,","show it to me, and I will go that way",Mostramelo e andrò da quella parte.
"E menerò   comeco tal aiuto,",and take with me such powerful help,e portare con me un aiuto così potente
Ched i’ quella forteza abatterò».,that I’ll bring that fortress down.”,che I.I.L. porta giù quella fortezza.
"«E’ nonn-à guari ch’i’ ne son venuto»,","“I have just returned from there,”","Sono appena tornato da lì,"
"Rispuose Amico, «ma ’l ver ti dirò,","answered Friend, “but I’ll tell you the truth,","rispose l'Amico, ma io ti dirò la verità,"
"Che•ss’i’ v’andai, i’ me ne son pentuto.","that as sure as I went that way, I have regretted it.”","che come sicuro come sono andato in quel senso, me ne sono pentito."
