Original,Translate_EN,Translate_IT_1
Lo Dio d’Amor   con su’ arco mi trasse,With his bow the God of Love pierced me,Con il suo arco il Dio dell'Amore mi trafisse
"Perch’i’ guardava un Fior,  che m’abellia,","while I was gazing at a Flower that pleased me,","mentre guardavo un fiore che mi piaceva,"
Lo quale avea piantato Cortesia,the Flower that Lady Courtesy had planted,il Fiore che Lady Courtesy aveva piantato
"Nel Giardin di Piacier, e que’ vi trasse",in the garden of Pleasure. Love came,nel giardino del Piacere.
"Sì tosto, c’a me parve ch’e’ volasse.","so quickly that it seemed to me he flew,","così in fretta che mi parve volare,"
E’ disse: «I’ sì ti tengo in mia balia».,and said: “I have you in my power.”,"e disse: ""Ti ho nel mio potere."""
"Allò• gli piaque, non per voglia mia,","Then as was his pleasure, and no desire of mine,","E com'è stato il suo piacere, e nessun mio desiderio,"
Ch’e’ di cinque saette mi piaghasse:,he wounded me with five arrows.,Mi ha ferito con cinque frecce.
"La prima à non' Bieltà, per li ochi il core","The first, named Beauty, passed my eyes","Il primo, chiamato Bellezza, mi passò gli occhi"
"Mi passò; la seconda Angielicanza,","and transfixed my heart; the second, Angel-Like,","e trafisse il mio cuore; il secondo, Angelo-Come,"
Quella mi mise sopra gran fredore;,gave me a bitter chill;,mi ha dato un freddo amaro;
"La terza, Cortesia,    fu san’ dottanza;",the third without doubt was Courtesy;,il terzo senza dubbio è stato Courtesy;
"La quarta Compagnia,    che fe’ dolore;","the fourth, Social Grace, caused pain;","la quarta, la Grazia Sociale, ha causato dolore;"
La quinta apella l’uon Buona-Speranza.,the fifth is called Good Hope.,la quinta si chiama Buona Speranza.
