Original,Translate_IT
"”Pape Satàn, pape Satàn aleppe!","Aleph, papa Satana, papa Satana!"
", cominciò Pluto con la voce chioccia;","Alza la voce, urlando, Plutus la sua voce."
"e quel savio gentil, che tutto seppe,","E lui, che capiva bene tutto, cominciò:"
disse per confortarmi: “Non ti noccia,"""Conforto, non temere la sua ira,"
"la tua paura; ché, poder ch'elli abbia,","Tutto il suo potere non viene negato,"
non ci torrà lo scender questa roccia”.,"Che io scavalco la roccia con te."""
"Poi si rivolse a quella 'nfiata labbia,","E poi, tornato alla bocca volata,"
"e disse: “Taci, maladetto lupo!","Gridò: ""Lupo, taci, vermedeo!"
consuma dentro te con la tua rabbia.,La tua rabbia sia consumata in te stesso!
Non è sanza cagion l'andare al cupo:,"Non andiamo avanti senza ragione,"
"vuolsi ne l'alto, là dove Michele","Là si vuole, là dove un tempo l'orgoglio con biasimo"
fé la vendetta del superbo strupo”.,"Micael, il guerriero celeste, è castigato."""
Quali dal vento le gonfiate vele,"Come le vele quando l'albero si rompe,"
"caggiono avvolte, poi che l'alber fiacca,","Arrotolando fino al gomito,"
tal cadde a terra la fiera crudele.,Così cadde la bestia che parlava così minacciosamente.
"Così scendemmo ne la quarta lacca,",Così il quarto cerchio nel dolore
pigliando più de la dolente ripa,"Un'infinità di pozzi che racchiudono ogni colpa,"
che 'l mal de l'universo tutto insacca.,Da chi mai e' scappato nello spazio Kund.
Ahi giustizia di Dio! tante chi stipa,"Giustizia del Signore, la tua vanga spinge"
nove travaglie e pene quant'io viddi?,"Cosi' tanta fatica insieme, cosi' tante piaghe!"
e perché nostra colpa sì ne scipa?,"O colpa cieca, che qui riceve la ricompensa!"
"Come fa l'onda là sovra Cariddi,","Come il Charybdi si disgrega,"
"che si frange con quella in cui s'intoppa,","Per battere da sud e da nord,"
così convien che qui la gente riddi.,"In questo caso, il popolo deve inseguirsi."
"Qui vid'i' gente più ch'altrove troppa,",Non c'era ancora una folla grande come quella.
"e d'una parte e d'altra, con grand' urli,",Urlando urlavano da entrambe le estremità
voltando pesi per forza di poppa.,E i carichi continuarono a rotolare con le tette.
Percotëansi 'ncontro; e poscia pur lì,"E si sono imbattuti per girarsi verso il Prall,"
"si rivolgea ciascun, voltando a retro,","E poi tirare indietro nella corsa dell'arco,"
gridando: “Perché tieni?” e “Perché burli?”.,"E gridavano: ""Che cosa tenere? ' Che sprecare?"
Così tornavan per lo cerchio tetro,"Così attraverso il cerchio in cui non è apparso alcun raggio di luce,"
"da ogne mano a l'opposito punto,","Poi, da una parte e dall'altra,"
gridandosi anche loro ontoso metro;,Urlando in modo ignominioso a entrambi.
"poi si volgea ciascun, quand'era giunto,","Poi tutti si volsero verso la nuova lite,"
per lo suo mezzo cerchio a l'altra giostra.,Non appena gira intorno alla sua congrega;
"E io, ch'avea lo cor quasi compunto,","E io, a cui ho dato pietà ai poveri,"
