Original,Translate_EN,Translate_IT_1
"Venùs la sua roba à socorciata,",Venus hiked her skirt up to her waist;,Venere ha camminato la gonna fino alla vita;
Crucciosa per senbianti molto e fiera;,she was angry in her disposition and fierce:,era arrabbiata nella sua disposizione e feroce:
"Verso ’l castel tenne sua caminiera,","she began to march toward the castle,","cominciò a marciare verso il castello,"
E ivi sì s’è un poco riposata;,"and, once there, she rested for a bit.","E una volta li', si e' riposata un po'."
E riposando sì ebe avisata,"And while she was resting, she noted,","E mentre stava riposando, ha notato:"
"Come colei, ch’era sottil archiera,","since she was an expert archer,","Da quando era un'esperta arciere,"
"Tra due pilastri una balestriera,","a loophole between two pillars,","una scappatoia tra due pilastri,"
La qual Natura v’avea   conpasata.,which Nature had designed with care.,che la Natura aveva progettato con cura.
In su’ pilastri una imagine avea   asisa;,Atop the pillars was placed an image;,In cima ai pilastri è stata posta un'immagine;
"D’argiento fin senbiava, sì luciea:","it seemed to be made of fine silver, so it shone;","sembrava fatta d'argento fino, così risplendeva;"
Trop’era   ben taglata   a gran divisa;,it was fashioned with great skill.,E 'stato fatto con grande abilità.
"Di sotto un santuaro si avea,","Underneath there was a reliquary,","Sotto c'era un reliquiario,"
"D’un drapo era   coperto sì in tal guisa,",covered by a cloth in such a way,coperto da un panno in tal modo
Che ’l santuaro punto non parea.,that the reliquary was not at all visible.,che il reliquiario non era affatto visibile.
