Original,Translate_EN,Translate_IT_1
Ciertana mente noi gli abiàn seghata,“For sure we sawed right through,Sicuramente abbiamo tagliato attraverso
"La gola, e’ giacie morto nel fossato.","his throat, and he lies dead in the moat.","la sua gola, e giace morto nel fossato."
"E’ nonn-à guari che noi l’abiàn gittato,","Not long ago we pitched him there,",Non molto tempo fa l'abbiamo lanciato li'.
E ’l Diavolo si n’à l’anima portata».,and the devil took his soul away.”,e il diavolo gli tolse l'anima.
La Vechia sì rispuose: «Or è amendata,To this the Old Woman made reply: “Now our situation,A questo la Vecchia donna ha risposto: Ora la nostra situazione
"Nostra bisognia, po’ ch’egli è sì andato.","is improved, since he’s no longer with us.","è migliorato, dal momento che egli non è più con noi."
"Cholui, chu’ vo’ m’avete acomandato,",I will put my every thought to serving,Metterò ogni mio pensiero a servire
I’ metterò   in servirlo mia pensata.,that one whom you have recommended to me.,quella che mi hai raccomandato.
Dit’al valetto ch’i’ ne parleròe:,Tell the young lad I’ll speak on his behalf,Di' al ragazzo che parla a suo nome.
"Quando vedrò   che ’l fatto sia ben giunto,","when I see that the time is ripe,","quando vedo che il tempo è maturo,"
I’ tutta sola a chieder sì•ll’andròe».,I’ll go all alone to get him.”,Vai tutto solo a prenderlo.
"Allor si parte, ed ivi fecie punto,","Then she leaves, and put an end to her words,","Poi se ne va, e mette fine alle sue parole,"
E tutti quanti a Dio gli acomandòe.,and commended all of them to God.,e li raccomandarono tutti a Dio.
Molto mi parve che ’l fatto sie ’n punto.,It seemed to me that things were going very well.,Mi sembrava che le cose stessero andando molto bene.
