Original,Translate_EN,Translate_IT_1
"«Dì, Falsenbiante, per gran cortesia,","“False Seeming, tell me out of courtesy,","Falso sembrare, dimmi per cortesia,"
"Po’ ch’i’ t’ò ritenuto di mia giente,",since I have accepted you among my barony,da quando ti ho accettato tra la mia baronessa
"E ò•tti fatto don sì bel’e giente,",and have given such a truly noble gift to you,e ti hanno dato un dono così nobile
"Che•ttu sè Re della baratteria,","who are the king of fraud,","che sono il re della frode,"
"Afideròmi in te, o è follia?","should I put my trust in you, or is it folly?",Dovrei fidarmi di te o e' una follia?
"Fa che•ttu me ne facci conosciente,","Be sure to let me know,",Assicurati di farmelo sapere.
"Chéd i’ sarei doman troppo dolente,","because I would be very sad tomorrow,","perché sarei molto triste domani,"
Se•ttu pensassi a farmi villania».,if you were planning to betray me.”,se stavi progettando di tradirmi.
"«Per Dio merzé, messer, non vi dottate,","“For God’s mercy, my lord, don’t be afraid,","Per la misericordia di Dio, mio signore, non abbiate paura,"
"Chéd i’ vi do la fé, tal com’i’ porto,","for I give you my word, which is just as reliable as I am,","perché io vi do la mia parola, che è affidabile quanto me,"
Ched i’ vi terrò pura lealtate».,that I will maintain true loyalty to you.”,che manterro' la vera lealta' nei tuoi confronti.
"«Allor», sì disse Amor, «ogniò si’  acorto","“Then,” said Love, “let each of you be quick","Poi, ha detto Amore, ciascuno di voi essere veloce"
"D’armarsi con su’ arme devisate,",to arm himself with his particular weapons,per armarsi con le sue armi particolari
"E vadasi al castel, che•ssì m’à morto».",and go to the castle that has ruined me.”,e andare al castello che mi ha rovinato.
