Original,Translate_EN,Translate_IT_1
Falsenbiante a la Vechia sì à detto:,False Seeming said to the Old Woman:,Falso aspetto ha detto alla vecchia donna:
"«Per Dio, gientil madonna preziosa,","“In God’s name, noble and refined lady,","Nel nome di Dio, signora nobile e raffinata,"
"Che senpre foste e siete pietosa,","you who were and always are merciful,","che sei stato e sei sempre misericordioso,"
Che vo’  agiate merzé del buon valletto!,may you take pity on the young lad!,Che possiate avere pieta' per il giovanotto!
Ch’e’ vi piaccia portarle un gioeletto,May it please you to take a jewel,Che possiate prendervi un gioiello
Da la sua parte a quella graziosa,on his behalf to that gracious,a nome suo a quella graziosa
"Bellacoglienza, che gli fu nascosa,","Fair Welcome, who was hidden from him,","Benvenuto bello, che era nascosto da lui,"
De ch’egli à avuto il cuor molto distr[e]tto.,on account of which his heart has been terribly distressed!,per la quale il suo cuore è stato terribilmente angosciato!
"Vedete qui fermagli, ch’e’ le manda,","See here the combs that he sends to her,",Guarda qui i pettini che le manda.
"E queste anella, e questi intrecciatoi,",and these rings and these silk ribbons;,e questi anelli e questi nastri di seta;
Ancora questa [tra]nobil ghirlanda.,"and this noble garland, too.",e anche questa nobile ghirlanda.
Il fatto suo si tien tratutto a voi;,His fate is completely entrusted to you.,Il suo destino ti è completamente affidato.
Ciascun di noi  per sé ’l vi racomanda.,Each one of us gives him our blessing:,Ognuno di noi gli dà la nostra benedizione:
Del fatto vostro penserén ben noi».,as for your situation we will take care of that.”,per quanto riguarda la vostra situazione ci prenderemo cura di questo.
