Original,Translate_IT
Parea dinanzi a me con l'ali aperte,Mi apparve con le sue ali distese
la bella image che nel dolce frui,La bella immagine che in dolce frutto
liete facevan l'anime conserte;,Fece risplendere le anime intrecciate;
parea ciascuna rubinetto in cui,"Sembrava un po 'di rubino ciascuno, in cui"
"raggio di sole ardesse sì acceso,",Il raggio del sole ardeva così ardente
che ne' miei occhi rifrangesse lui.,Che ognuno nei miei occhi l'ha rifrattata.
"E quel che mi convien ritrar testeso,",E quello che ora mi permette di ripercorrere
"non portò voce mai, né scrisse incostro,","Né la voce ha riferito, né l'inchiostro scritto,"
né fu per fantasia già mai compreso;,Né è stato per fantasia e'er compreso;
"ch'io vidi e anche udi' parlar lo rostro,","Per parlare ho visto, e allo stesso modo sentito, il becco,"
"e sonar ne la voce e “io” e “mio”,","E pronuncia con la sua voce sia 'Io' che 'Mio,'"
quand'era nel concetto e 'noi' e 'nostro'.,Quando nel concepimento era 'noi' e 'nostro'.
E cominciò: “Per esser giusto e pio,"E cominciò: ""Essere giusto e misericordioso"
son io qui essaltato a quella gloria,Sono qui esaltato a quella gloria
che non si lascia vincere a disio;,che non può essere superato dal desiderio;
e in terra lasciai la mia memoria,E sulla terra ho lasciato la mia memoria
"sì fatta, che le genti lì malvage","Tale, che la gente di mente malvagia là"
"commendan lei, ma non seguon la storia”.","Lo raccomandi, ma non continui la storia."""
Così un sol calor di molte brage,Così fa un solo calore da molte braci
"si fa sentir, come di molti amori","Si fa sentire, come da molti amori"
usciva solo un suon di quella image.,Ha emesso un singolo suono da quell'immagine.
Ond'io appresso: “O perpetüi fiori,"Da dove I in seguito: ""O fiori perpetui"
"de l'etterna letizia, che pur uno","Della gioia eterna, quella sola"
"parer mi fate tutti vostri odori,","Fatemi percepire i vostri odori molteplici,"
"solvetemi, spirando, il gran digiuno","Espirare, rompere dentro di me il grande veloce"
"che lungamente m'ha tenuto in fame,","Che una lunga stagione mi ha trattenuto nella fame,"
non trovandoli in terra cibo alcuno.,Non trovate cibo sulla terra.
"Ben so io che, se 'n cielo altro reame","Beh, so che se in paradiso il suo specchio"
"la divina giustizia fa suo specchio,","Giustizia Divina un altro regno fa,"
che 'l vostro non l'apprende con velame.,Il vostro non lo arresta attraverso alcun velo.
Sapete come attento io m'apparecchio,Sai come mi rivolgo con attenzione a me.
ad ascoltar; sapete qual è quello,Ascoltare; e tu sai qual è il dubbio
dubbio che m'è digiun cotanto vecchio”.,"Questo è in me così molto vecchio un digiuno."""
"Quasi falcone ch'esce del cappello,","Anche come un falco, che esce dal suo cofano,"
"move la testa e con l'ali si plaude,","Muove il capo e con le ali lo applaudisce,"
"voglia mostrando e faccendosi bello,","Mostrando il desiderio e facendosi perdonare,"
"vid'io farsi quel segno, che di laude","Ho visto che sono diventato quello standard, che di lode"
"de la divina grazia era contesto,","Era intrecciato della grazia divina,"
con canti quai si sa chi là sù gaude.,Con canti come lui sa chi ci gioisce.
Poi cominciò: “Colui che volse il sesto,"Allora cominciò: ""Colui che ha girato una bussola"
