Original,Translate_EN,Translate_IT_1
"Al Die d’Amor ricordaro il fatto,",They went over the plan with the God of Love,Hanno ripassato il piano con il Dio dell'Amore
E disser ch’e’ trovavar d’acordanza,and told him they agreed,e gli dissero che erano d'accordo
Che Falsenbiante e Costretta-Astinenza,that False Seeming and Forced Abstinence,che Falso sembrare e forzato l'astinenza
Dessono a Mala Bocca scacco matto;,would give Bad Mouth the coup de grace.,Darebbe a Bad Mouth il colpo di grazia.
Largheza e Cortesia traeser pacto,Generosity and Lady Courtesy would make a deal,Generosità e Lady Courtesy farebbe un accordo
"Con quella, che•ssa ben la vechia danza;","with that one who knows the old dance well,","con quello che conosce bene il vecchio ballo,"
E Pietate e Francheza dear miccianza,and Mercy and Sincerity would give problems,e la misericordia e la sincerità darebbero problemi
"A quello Schifo, che sta sì ’norsato;",to Resistance who is so fierce.,alla Resistenza che è così feroce.
"E po’ vada Diletto e Ben-Cielare,",And then Delight and Well-Hidden will advance,E poi Delight and Well-Hidden avanzerà
"Ed a Vergognia dean tal lastrellata,",and deal a mighty blow to Modesty,e dare un colpo possente alla Modesty
Ched ella non si possa rilevare;,so that she cannot get up.,Cosi' che non possa alzarsi.
"Ardimento a Paura dea ghigniata,","And Boldness will make fun of Fear,","E l'audacia prenderà in giro la paura,"
"E Sicurtà la degia sì pelare,",and Safety should flay her so severely,e la sicurezza dovrebbe friggerla così severamente
Ched ella non vi sia ma’ più trovata.,that she’ll no longer be found there.,che lei non può più essere trovato lì.
