Original,Translate_EN,Translate_IT_1
"Madonna Oziosa venne la primiera,",Lady Leisure was in the first line,Lady Leisure era in prima linea
"Con Nobiltà-di-Chuor, e con Richezza,",with Noble Heart and with Wealth;,con il Nobile Cuore e con la Ricchezza;
"Franchigia, Cortesia, Pietà, Largheza,","Sincerity, Courtesy, Mercy, Generosity,","Cordialità, Cordialità, Misericordia, Generosità,"
"Ardimento, e Honor: ciaschedun v’era.","Boldness and Honor, all of them were there.",L'audacia e l'onore erano tutti lì.
"Diletto et Conpagnia seguian la schiera,",Delight and Social Grace followed in the company;,Delizia e Grazia Sociale seguiti in azienda;
"Angielicanza, Sicurtà, et Leteza,","Angel-Like, Safety, and Happiness","Angel-Like, Sicurezza e Felicità"
"E Solazo, e Bieltate, e Giovaneza",and Joy and Beauty and Youth,e Gioia e Bellezza e Gioventù
Andavan tutte inpresso la bandera.,were all following the banner.,Seguivano tutti lo striscione.
"Ancor v’era   Humiltate, e Pacienza,",Then came Humility and Patience;,Poi venne l'umiltà e la pazienza;
"Giolività vi fue, e Ben-Cielare,",Joyfulness was there and Well-Hidden,La gioia era lì e ben nascosta
E Falsenbiante e Costretta-Astinenza.,and False Seeming and Forced Abstinence.,e Falso Semendo e Astinenza Forzata.
"Amor si cominciò a maravigliare,",Love was astonished,L'amore rimase stupito
"Po’ vide Falsenbiante in sua presenza,","to see False Seeming in his presence,","per vedere Falso che appare in sua presenza,"
E disse: «Chi•ll’à tolto a sichurare?».,and said: “Who’s vouched for him?”,e disse: Chi ha garantito per lui?
