Original,Translate_EN,Translate_IT_1
"Que’, che vorrà canpar del mi’ furore,","“If someone wishes to escape my fury,","Se qualcuno vuole sfuggire alla mia furia,"
Eco qui preste le mie difensioni:,here are the weapons to defend himself from me:,Ecco le armi per difendersi da me:
"Grosse lanprede, over di gran salmoni",let him bring huge lampreys or enormous salmons,lasciarlo portare enormi lampredi o enormi salmoni
"Aporti, lucci, sanza far sentore,","or pike, without letting it be known.","o il luccio, senza che lo si sappia."
"La buona anguilla nonn-è già pegiore,","A good eel is hardly bad,","Una buona anguilla non è male,"
"Alose, o tinche, o buoni   storioni,","shad or tench or some good sturgeon,","shad o tench o qualche buon storione,"
"Torte battute, o tartere, o fiadoni:",cakes or stuffed pastries or sweet breads:,torte o pasticcini ripieni o pane dolce:
Queste son cose d’aquistar mi’ amore.,these are things that will gain my love.,Queste sono cose che guadagneranno il mio amore.
"O s’e’ mi manda ancor grossi cavretti,","Or let him send me large kids,","O lasciare che mi mandi dei figli grandi,"
"O gran capponi   di muda be•nodriti,","or large, well-nourished capons who’ve moulted,","o capponi grandi e ben nutriti che si mutano,"
"O paperi novelli, o coniglietti.",or young goslings and rabbits.,o piccoli gosling e conigli.
"Da ch’e’ ci avrà di ta’ morse’ serviti,","After he’s served us such morsels,","Dopo averci servito quei bocconi,"
No•gli bisognia di far gran disdetti:,he’ll need not make any big excuses:,l'inferno non ha bisogno di fare grandi scuse:
"Dica ch’è guoco, e giuoca a tutti ’nviti.","let him tell me what game to play, and I’ll play it.”","lasciare che mi dica a che gioco di giocare, e io lo giocherò."
