Original,Translate_EN,Translate_IT_1
Ancor non vo’ t’incresca d’ascoltarmi,“I don’t want you to tire of listening to me:,Non voglio che ti stanchi di ascoltarmi:
"Alquanti motti, ch’i’ voglio ancor dire.",please try to hear and remember,per favore prova a sentire e ricordare
"A ritenere intendi, e a udire,","the few things I still want to say,","le poche cose che ancora voglio dire,"
Ché non potresti aprender miglior’ salmi.,for you can not learn better psalms.,perché non si può imparare salmi migliori.
"Tu sì à’ cominciato a biasimarmi,",You have begun to blame me,Hai iniziato a incolpare me.
"Perch’i’ l’Amor ti volea far fugire,","because I wanted you to flee from Love,","perché volevo che fuggissi dall'Amore,"
Che fa le gienti vivendo morire:,"who makes people die even as they live,","che fa morire la gente come vive,"
"E tu ’l saprai ancor, se no•lo spalmi!",and one day this you’ll learn if you don’t free yourself from him!,e un giorno questo imparerai se ti liberi da lui!
"Sed i’ difendo a ciaschedun l’ebreza,","If I forbid someone from drinking excessively,","Se proibisco a qualcuno di bere eccessivamente,"
"Non vo’ che ’l ber per ciò nesun disami,","I don’t want people to hate drinking for this reason,","Non voglio che le persone odino bere per questo motivo,"
Se non se quello che la giente bleza.,except for that variety that causes harm to people.,eccetto quella varietà che causa danni alle persone.
"I’ non difendo a•tte che•ttu nonn-ami,","I do not forbid you from loving,","Non ti proibisco di amare,"
"Ma non Amor, che•tti tengha ’n distreza,","but I do want to stop Love from keeping you in distress,","ma voglio impedire all'Amore di tenerti in pericolo,"
E nella fin dolente te ne chiami».,"and, in the end, to stop you from calling yourself wretched.”","e, alla fine, per impedirti di chiamarti miserabile."
