Original,Translate_EN,Translate_IT_1
"Se non ài che donar   fa gran pro[m]essa,","If you have nothing to give, make great promises,","Se non avete nulla da dare, fate grandi promesse,"
"Sì com’i’ t’ò contato qui davanti,","just as I have told you now,","proprio come vi ho detto ora,"
"Giurando loro Idio e tutti i santi,",pledging to them by God and all the Saints,a loro per mezzo di Dio e di tutti i Santi
"Ed anche il sacramento della messa,","and even on the sacrament of the mass,","e anche sul sacramento della messa,"
"Che ciascuna farai gran baronessa,","that you will make each of them a great baroness,","che farete di ciascuno di loro una grande baronessa,"
Tanto darai lor fiorini e bisanti.,"and in the meantime you will give them florins and bisanti,","e nel frattempo darete loro fiorini e bisanti,"
"Di piangier vo’ che faccie gran senb[i]anti,","I want you to pretend to weep,",Voglio che tu faccia finta di piangere.
Diciendo che non puo’ viver sanz’essa.,saying that you cannot live without her.,Dicendo che non puoi vivere senza di lei.
"E, se•ttu non potessi lagrimare,","And if you should be unable to shed any tears,","E se non sarai in grado di versare lacrime,"
"Fa che•ttu agie sugo di cipolle,",make sure that you have some juice from onions,Assicurati di avere un po 'di succo di cipolla
"O di scalogni: e’ faranolti fare,","or scallions, and this will make you cry;","o scialli, e questo vi farà piangere;"
"O di scialiva gli ochi tu•tte molle,","or dampen your eyes with saliva,","o inumidire gli occhi con la saliva,"
S’ad altro tu non puo’ ricoverare.,if you cannot find anything else.,se non riesci a trovare nient'altro.
E così vo’ che ciascheduna bolle.,And in this way I want you to deceive them all.,E in questo modo voglio che tu li inganni tutti.
