Original,Translate_EN,Translate_IT_1
A l’armadure ciaschedun si prese:,They all took their weapons,Hanno preso tutte le armi.
E’ sì s’armar co•molto gran valore,"and armed themselves with great strength,","e si armarono di grande forza,"
"Per dar a Gielosia pene e dolore,","in order to give Jealousy pain and anguish,","per dare gelosia e angoscia,"
Se contra lor stesse alle difese;,if she were to resist them.,se dovesse resistergli.
"Ed alcun prese   scudo, altro pavese,","And some took a shield, others a pavis,","E alcuni presero uno scudo, altri un pavis,"
"Ispade, e lancie, a molto gran romore,","swords and spears, all with a great shout;","spade e lance, tutte con un gran grido;"
Diciendo ciaschedun al Die d’Amore,each one telling the God of Love,ciascuno che dice il Dio dell'Amore
"Che quelle guardie saran morte, e prese.",that those guards will be dead and captured.,che quelle guardie saranno morte e catturate.
"Or sì vi conterò la contenenza,",Now I’ll tell you how False Seeming,Ora vi dirò come Falso sembrare
Che Falsenbiante fecie in quella andata,behaved in that expedition,Comportati in quella spedizione
Colla su’ amica Costretta-Astinenza:,with his friend Forced Abstinence.,con il suo amico Astinenza forzata.
"E’ non menar co•llor già giente armata,","They did not take any armed warriors with them,","Non hanno portato con sé guerrieri armati,"
"Ma come giente di gran penitenza,","but as people with a penitent look,","ma come persone con uno sguardo penitente,"
Si mosser per fornir ben lor giornata.,they went forth to accomplish their day’s task.,uscirono per compiere il loro compito di giorno.
