Original,Translate_EN,Translate_IT_1
"Figluola mia, cortese ed insegniata,","“My dear noble and well-bred daughter,","Mia cara figlia nobile e ben allevata,"
La tua gran gioia si è ancor a venire.,your great joy is yet to come.,La tua grande gioia deve ancora venire.
"Or me convien me piangier e languire,","Now it’s my time to cry and languish,","Ora è il mio tempo di piangere e languire,"
"Ché•lla mia sì se n’è tutta passata,","because my joy is completely over,","perché la mia gioia è completamente finita,"
"Né non fie mai per me più ritrovata,","and I will not find it ever again,","e non lo troverò mai più,"
Chéd ella mi giurò di non reddire.,for it swore to me that it would not return.,perché mi ha giurato che non sarebbe tornato.
"Or n’ò ’n consigliar te, che dé’ sentire","Now I want to advise you, who must feel","Ora voglio consigliarvi, chi deve sentire"
"Il caldo del brandone, che sie avisata",the heat of Love’s flame: you must be careful,il calore della fiamma dell'Amore: bisogna stare attenti
Che non faciessi sì come fec’io:,not to do as I did;,non fare come ho fatto io;
"De ch’i’   son trista, quand’e’ men ri[menbra]",for which I’m sad when I remember,per il quale io mi ricordo
Ch’i’   non posso tornare a lavorio.,that I cannot return to love’s labor.,che non posso tornare ad amare i lavoratori.
Per ch’i’ te dico ben ched e’ mi senbra.,"Therefore, I’ll tell you how things seem to me:","Pertanto, vi dirò come mi sembrano le cose:"
"Se•ttu creder vorà’ ’l consiglio mio,","if you will follow my advice,","se vuoi seguire il mio consiglio,"
"Tu sì non perderai aver, né menbra.",you’ll not lose men’s riches or their bodies.”,non perdete le ricchezze degli uomini o i loro corpi.
