Original,Translate_IT
"Imagini, chi bene intender cupe","Lasciatelo immaginare, che ben concepire"
"quel ch'i' or vidi - e ritegna l'image,","Quello che ora ho visto, e lasciarlo mentre parlo"
"mentre ch'io dico, come ferma rupe -,","Mantieni l'immagine come una roccia salda,"
quindici stelle che 'n diverse plage,"Le quindici stelle, che nelle loro regioni subacquee"
lo cielo avvivan di tanto sereno,Il cielo ravviva con una luce così grande
che soperchia de l'aere ogne compage;,che trascende tutti gli ammassi dell'aria;
imagini quel carro a cu' il seno,Lasciate che lui il Wain immaginare a cui
"basta del nostro cielo e notte e giorno,","La nostra volta del cielo basta notte e giorno,"
sì ch'al volger del temo non vien meno;,"così che, girando il suo palo, non fallisce;"
imagini la bocca di quel corno,Lasciategli la bocca immaginare il corno
che si comincia in punta de lo stelo,Che nel punto iniziale dell'asse
"a cui la prima rota va dintorno,","Rotondo su cui ruota la ruota primaria,"
"aver fatto di sé due segni in cielo,","di aver fatto di se stessi due segni in cielo,"
qual fece la figliuola di Minoi,"Come a quello che fece la figlia di Minos,"
allora che sentì di morte il gelo;,Il momento in cui sentì il gelo della morte;
"e l'un ne l'altro aver li raggi suoi,","e uno di avere i suoi raggi all'interno dell'altro,"
e amendue girarsi per maniera,Ed entrambi per girarsi in tal modo
che l'uno andasse al primo e l'altro al poi;,"Che uno vada avanti, l'altro indietro;"
e avrà quasi l'ombra de la vera,E ne avra' un po' di ombra.
costellazione e de la doppia danza,La vera costellazione e la doppia danza
che circulava il punto dov'io era:,Quel cerchio intorno al punto in cui ero;
"poi ch'è tanto di là da nostra usanza,",Perche' e' molto al di la' del nostro solito.
quanto di là dal mover de la Chiana,Più veloce del moto della Chiana
si move il ciel che tutti li altri avanza.,Muove il cielo che tutto il resto accelera.
"Lì si cantò non Bacco, non Peana,","Non cantavano né Bacco, né Apollo,"
"ma tre persone in divina natura,","Ma nella natura divina Persone tre,"
e in una persona essa e l'umana.,E in una sola persona il divino e l'umano.
Compié 'l cantare e 'l volger sua misura;,"Il canto e la danza hanno compiuto la loro misura,"
"e attesersi a noi quei santi lumi,","E a noi quelle sante luci diedero bisogno,"
felicitando sé di cura in cura.,Crescendo nella felicità dalle cure alle cure.
Ruppe il silenzio ne' concordi numi,Poi rotto il silenzio di quei santi concordante
poscia la luce in che mirabil vita,La luce in cui la vita ammirevole
"del poverel di Dio narrata fumi,","Mi è stato detto del mendicante di Dio,"
"e disse: “Quando l'una paglia è trita,","E disse: ""Ora che una cannuccia è calpestata"
"quando la sua semenza è già riposta,","Ora che il suo seme è già raccolto,"
a batter l'altra dolce amor m'invita.,Il dolce amore mi invita a trebbiare l'altro.
Tu credi che nel petto onde la costa,"In quel seno, tu credi, da dove"
si trasse per formar la bella guancia,È stato disegnato la costola per formare la guancia beauteous
"il cui palato a tutto 'l mondo costa,","Il cui gusto a tutto il mondo sta costando caro,"
"e in quel che, forato da la lancia,","e in quello che, per la lancia trafitta,"
"e prima e poscia tanto sodisfece,","Prima e dopo, tale soddisfazione fatta"
"che d'ogne colpa vince la bilancia,","che pesa sulla bilancia di ogni peccato,"
quantunque a la natura umana lece,Che cosa di luce ha alla natura umana
"aver di lume, tutto fosse infuso",E' stato lecito possedere è stato tutto infuso
da quel valor che l'uno e l'altro fece;,Con lo stesso potere che entrambi crearono.
"e però miri a ciò ch'io dissi suso,","E quindi, a quello che ho detto sopra di me,"
quando narrai che non ebbe 'l secondo,Quando narrai che nessun secondo aveva
lo ben che ne la quinta luce è chiuso.,Il bene che alla quinta luce è racchiuso.
"Or apri li occhi a quel ch'io ti rispondo,","Ora apri gli occhi a quello che ti rispondo,"
e vedräi il tuo credere e 'l mio dire,E vedrai il tuo credo e il mio discorso
nel vero farsi come centro in tondo.,Si adattano alla verità come al centro di un cerchio.
Ciò che non more e ciò che può morire,"Ciò che può morire e ciò che non muore,"
non è se non splendor di quella idea,Non sono altro che lo splendore dell'idea
"che partorisce, amando, il nostro Sire;","che con il suo amore nostro Signore fa nascere,"
ché quella viva luce che sì mea,"Perché quella Luce vivente, che dalla sua sorgente"
"dal suo lucente, che non si disuna","Flussi Effulgenti, in modo che non si disunisca"
"da lui né da l'amor ch'a lor s'intrea,","da Lui e dall'Amore in essi intrisi,"
"per sua bontate il suo raggiare aduna,",Attraverso la propria bontà riunisce i suoi raggi
"quasi specchiato, in nove sussistenze,","In nove sussistenza, come in uno specchio,"
etternalmente rimanendosi una.,Se stesso rimanendo eternamente Uno.
Quindi discende a l'ultime potenze,"Poi scende fino alle ultime potenze,"
"giù d'atto in atto, tanto divenendo,",Giù dall'atto all'atto che diventa tale
che più non fa che brevi contingenze;,Che solo brevi contingenze fa;
e queste contingenze essere intendo,E queste contingenze che ritengo di essere
"le cose generate, che produce","Le cose generate, che il cielo produce"
con seme e sanza seme il ciel movendo.,"Di sua iniziativa, con seme e senza."
La cera di costoro e chi la duce,"né la loro cera, né ciò che la tempera,"
non sta d'un modo; e però sotto 'l segno,"rimane immutabile, e quindi sotto"
idëale poi più e men traluce.,Il segno ideale sempre meno brilla attraverso;
"Ond'elli avvien ch'un medesimo legno,","Quindi accade, che lo stesso albero"
"secondo specie, meglio e peggio frutta;","Dopo il suo genere porta frutti peggiori e migliori,"
e voi nascete con diverso ingegno.,E voi siete nati con personaggi diversi.
Se fosse a punto la cera dedutta,"Se nella perfezione temperata fosse la cera,"
"e fosse il cielo in sua virtù supprema,","e il cielo era nella sua suprema virtù,"
la luce del suggel parrebbe tutta;,La brillantezza del sigillo apparirebbe tutti;
"ma la natura la dà sempre scema,","Ma la natura le dà sempre più carenze,"
similemente operando a l'artista,"In modo simile lavorando come l'artista,"
ch'a l'abito de l'arte ha man che trema.,Chi ha l'abilità dell'arte e della mano che trema.
Però se 'l caldo amor la chiara vista,"Se poi l'Amore fervente, la Visione libera,"
"de la prima virtù dispone e segna,","Della Virtù primitiva si sbarazzano e sigillano,"
tutta la perfezion quivi s'acquista.,La perfezione assoluta è lì acquisita.
Così fu fatta già la terra degna,Così fu di vecchia la terra creata degna
di tutta l'animal perfezïone;,di tutti e di ogni perfezione animale;
così fu fatta la Vergine pregna;,E così la Vergine fu impregnata;
"sì ch'io commendo tua oppinïone,","Così che la tua opinione io raccomando,"
che l'umana natura mai non fue,"Che la natura umana non è mai stata,"
né fia qual fu in quelle due persone.,"Né sarà, quello che era in quelle due persone."
"Or s'i' non procedesse avanti piùe,","Ora, se non dovessi andare oltre,"
"'Dunque, come costui fu sanza pare?'",'Allora in che modo era senza un pari? '
comincerebber le parole tue.,Sarebbe il primo inizio delle tue parole.
"Ma perché paia ben ciò che non pare,","Ma ciò può apparire ciò che ora non appare,"
"pensa chi era, e la cagion che 'l mosse,","Pensa chi era, e quale occasione lo ha commosso"
"quando fu detto ""Chiedi"", a dimandare.","Per fare richiesta, quando gli è stato detto, 'Chiedi'."
"Non ho parlato sì, che tu non posse",Non ho parlato così tanto che tu non puoi vedere
"ben veder ch'el fu re, che chiese senno","Chiaramente era un re che chiedeva saggezza,"
acciò che re sufficïente fosse;,per essere sufficientemente un re;
non per sapere il numero in che enno,"""Non doveva sapere il numero in cui sono"
"li motor di qua sù, o se necesse","I motori qui sopra, o se 'necessario'"
con contingente mai necesse fenno;,"Con un contingente e'er 'necessa' fare,"
"non si est dare primum motum esse,","'Non si est dar primum motum esse,'"
o se del mezzo cerchio far si puote,O se in semicerchio può essere fatto
trïangol sì ch'un retto non avesse.,Triangolo in modo che non abbia angolo retto.
"Onde, se ciò ch'io dissi e questo note,","Da dove, se noti questo e quello che ho detto,"
regal prudenza è quel vedere impari,Una prudenza regale è che vedere senza pari
in che lo stral di mia intenzion percuote;,In cui colpisce l'albero della mia intenzione.
"e se al ""surse"" drizzi li occhi chiari,","E se alla 'rosa' tu volgi gli occhi limpidi,"
vedrai aver solamente respetto,Vedrai che ha solo riferimenti.
"ai regi, che son molti, e ' buon son rari.","Ai re che sono molti, e i buoni sono rari."
Con questa distinzion prendi 'l mio detto;,"Con questa distinzione prendi ciò che ho detto,"
e così puote star con quel che credi,E così può consistere nella tua fede
del primo padre e del nostro Diletto.,Del primo padre e della nostra delizia.
"E questo ti sia sempre piombo a' piedi,","e condurrai questo sarà sempre ai tuoi piedi,"
per farti mover lento com'uom lasso,"Per farti, come un uomo stanco, muoverti lentamente"
e al sì e al no che tu non vedi:,Non vedi né il Sì né il No;
"ché quelli è tra li stolti bene a basso,",Poiché molto basso tra gli stolti è lui
che sanza distinzione afferma e nega,"che afferma senza distinzione, o nega,"
ne l'un così come ne l'altro passo;,anche nell'uno come nell'altro caso;
perch'elli 'ncontra che più volte piega,Perché accade che il pieno spesso si piega
"l'oppinïon corrente in falsa parte,","l'attuale parere nella direzione sbagliata,"
e poi l'affetto l'intelletto lega.,E poi i sentimenti legano l'intelletto.
"Vie più che 'ndarno da riva si parte,","Molto più che inutile lascia la riva,"
"perché non torna tal qual e' si move,","(Poiché egli non ritorna lo stesso, se ne andò)"
chi pesca per lo vero e non ha l'arte.,che pesca per la verità e non ha abilità
E di ciò sono al mondo aperte prove,E nel mondo palesi prove di ciò
"Parmenide, Melisso e Brisso e molti,","Parmenide, Melissus, Brissus sono,"
li quali andaro e non sapëan dove;,e molti che andavano avanti e non sapevano dove;
