Original,Translate_EN,Translate_IT_1
"Molti d’assenpri dartene potrei,","“I could give you many examples,","Potrei darvi molti esempi,"
Ma troppo saria lungo parlamento:,but my speech would be too long.,Ma il mio discorso sarebbe troppo lungo.
Ciascuna dé aver fermo intendimento,Each woman must be constant in her desire,Ogni donna deve essere costante nel suo desiderio
"Di scorticargli, sì son falsi e rei.","to skin men, so false and evil are they.","per scuoiare gli uomini, sono così falsi e malvagi."
"S’i’ fosse giovane, io ben lo farei;","If I were young, I would certainly do it;","Se fossi giovane, lo farei sicuramente;"
"Ma io so’ fuor di quello intendimento,","but I no longer think this way,","ma non penso più in questo modo,"
"Ché troppo fu tosto il mi’ nascimento,","for I was born too early,","perché sono nato troppo presto,"
Sì ch’i’ vendetta far non ne potrei.,and thus could not take revenge.,e così non poteva vendicarsi.
"Ma•ttu, figluola mia, che•ssè fornita","But you, my daughter, who are endowed","Ma tu, figlia mia, che sei dotata"
"D’ogni'armadura per farne vengianza,","with every weapon with which to wreak revenge,","con ogni arma con cui vendicarsi,"
"Sì fa che ’nverso lor sie ben sentita,",do it so that you are quite judicious in their regard,Lo faccia in modo che lei sia abbastanza saggio nei loro confronti
E presta di dar lor pen’ e micianza:,and quick to give them pain and misfortune.,e pronto a dare loro dolore e sventura.
"Se•ttu ’l fai, d’ogni’ mal m’avrà’ guerita,","If you do this, you will have healed me of every ill","Se lo fai, mi guarirai da ogni male"
E allegiata d’ognie mia pesanza.,and relieved me of all my sorrow”,e mi ha sollevato da tutto il mio dolore
