Original,Translate_IT
Così discesi del cerchio primaio,Così scesi dal primo di questi circoli.
"giù nel secondo, che men loco cinghia","al secondo, che sembra occupare meno spazio,"
"e tanto più dolor, che punge a guaio.","ma tanto più orrore, e il cui aspetto fa paura."
"Stavvi Minòs orribilmente, e ringhia:",E' qui che aspetta Minos all'orribile smorfia.
essamina le colpe ne l'intrata;,"Egli sta all'ingresso e soppesa le colpe,"
giudica e manda secondo ch'avvinghia.,Giudica e condanna in un solo giro di coda.
Dico che quando l'anima mal nata,Ogni spirito che si destina alle pene infernali
"li vien dinanzi, tutta si confessa;",si mostra alla sua presenza e viene a confessarsi;
e quel conoscitor de le peccata,"e questo grande conoscitore, esperto in tutti i crimini,"
vede qual loco d'inferno è da essa;,Pensa a quale angolo dell'inferno gli si addice.
cignesi con la coda tante volte,e avvolge al suo corpo la sua coda tante volte
quantunque gradi vuol che giù sia messa.,che vuole che il dannato scenda di gradi.
Sempre dinanzi a lui ne stanno molte:,Le anime davanti a lui formano lunghe file;
"vanno a vicenda ciascuna al giudizio,","ciascuno passa a sua volta in tribunale,"
dicono e odono e poi son giù volte.,"dice, ascolta la sua sorte e rotola verso il fondo."
"“O tu che vieni al doloroso ospizio”,","“Tu, che pretendi di entrare nel soggiorno delle pene,"
"disse Minòs a me quando mi vide,","Gridò verso di me Minosse, appena mi vide,"
"lasciando l'atto di cotanto offizio,","interrompendo improvvisamente il suo misero ufficio,"
“guarda com'entri e di cui tu ti fide;,"vedi prima dove vai, a chi ti affidi,"
non t'inganni l'ampiezza de l'intrare!”.,senza lasciarti ingannare dall’accesso troppo facile”.
E 'l duca mio a lui: “Perché pur gride?,Ma la mia guida intervenne: «Perché gridare così?
Non impedir lo suo fatale andare:,Non impedisce invano il suo viaggio fatale.
vuolsi così colà dove si puote,"Si vuole che sia così, nel luogo in cui si può"
"ciò che si vuole, e più non dimandare”.",Quello che si vuole: perché chiedere di più?”
Or incomincian le dolenti note,È da lì che ho sentito davvero
a farmisi sentire; or son venuto,"le grida della disperazione, e il rumore del pianto"
là dove molto pianto mi percuote.,All’inizio mi ha colpito l’orecchio.
"Io venni in loco d'ogne luce muto,",Vedevo davanti a noi un antro senza luce
"che mugghia come fa mar per tempesta,",il cui ruggito assomiglia alla tempesta
se da contrari venti è combattuto.,che a volte solleva le onde del mare.
"La bufera infernal, che mai non resta,","L'infernale turbinio, girando senza sosta,"
mena li spirti con la sua rapina;,"porta gli spiriti mescolati nel suo tumulto,"
voltando e percotendo li molesta.,"li colpisce, i culbuti, i giornali da ogni parte,"
"Quando giungon davanti a la ruina,","facendoli rotolare tutti sull'orlo del precipizio,"
"quivi le strida, il compianto, il lamento;","dove si sente raddoppiare la loro angoscia e le loro grida,"
bestemmian quivi la virtù divina.,E tutti insultano la divina bontà.
Intesi ch'a così fatto tormento,E finalmente ho capito che è per questo supplizio
"enno dannati i peccator carnali,","che là si punisce il peccato della carne,"
che la ragion sommettono al talento.,che alimenta l'appetito a spese della ragione.
E come li stornei ne portan l'ali,"Come gli storni se ne vanno a tirar fuori l'ala,"
"nel freddo tempo, a schiera larga e piena,","quando il freddo scende, formando lunghe file,"
così quel fiato li spiriti mali,Così questo vento orribile porta via gli spiriti.
"di qua, di là, di giù, di sù li mena;","Di qua, di là, dappertutto il suo respiro li respinge;"
"nulla speranza li conforta mai,","per consolare il loro male, nessuna speranza offre loro"
"non che di posa, ma di minor pena.",l'immagine del riposo o di un minimo tormento.
"E come i gru van cantando lor lai,",Come le grida lamentose di qualche volo di gru
"faccendo in aere di sé lunga riga,","che formano nell'aria delle file infinite,"
"così vid'io venir, traendo guai,","come io vidi venire, piangendo e gemendo,"
ombre portate da la detta briga;,le ombre che portavano via questa tempesta.
"per ch'i' dissi: “Maestro, chi son quelle","Ti chiesi: “Chi sono, maestro, tutte queste persone?"
genti che l'aura nera sì gastiga?”.,nudo il nero turbinio si accanisce a castigare? »
“La prima di color di cui novelle,"“La prima di coloro che pretendi di conoscere,"
"tu vuo' saper”, mi disse quelli allotta,","si mise a spiegarmi la mia guida senza indugio,"
“fu imperadrice di molte favelle.,Un tempo regnava su molti popoli.
"A vizio di lussuria fu sì rotta,","Ma aveva gettato così lontano nella lussuria,"
"che libito fé licito in sua legge,","che impose leggi che permettevano questo vizio,"
per tòrre il biasmo in che era condotta.,per non incorrere più in una colpa meritata.
"Ell' è Semiramìs, di cui si legge","Lei è Semirami, la cui storia racconta"
che succedette a Nino e fu sua sposa:,che ha seguito Nino e che era sua moglie;
tenne la terra che 'l Soldan corregge.,Un tempo aveva la terra dove regnava il Sultano.
"L'altra è colei che s'ancise amorosa,","L'altro si era dato la morte per troppo amore,"
e ruppe fede al cener di Sicheo;,dimenticando la fede dovuta alle ceneri di Sicheo;
poi è Cleopatràs lussurïosa.,"Cleopatra la segue, questa lussuria."
"Elena vedi, per cui tanto reo","Vedi anche Elena, che un tempo era la causa"
"tempo si volse, e vedi 'l grande Achille,","così costanti tormenti; ecco il grande Achille,"
che con amore al fine combatteo.,L'amore solo guidava alla fine della guerra.
"Vedi Parìs, Tristano”; e più di mille","Vedi Parigi e Tristan... » Mi fece vedere ancora,"
"ombre mostrommi e nominommi a dito,","Indicando i loro nomi, più di mille altre ombre"
ch'amor di nostra vita dipartille.,che persero la vita a causa dell’amore.
Poscia ch'io ebbi 'l mio dottore udito,Sentire il mio dottore che ha detto così.
"nomar le donne antiche e' cavalieri,","questi valorosi cavalieri e queste dame antiche,"
"pietà mi giunse, e fui quasi smarrito.",Sentivo di stringermi il cuore nel petto.
"I' cominciai: “Poeta, volontieri","Poi gli dissi: “Poeta, vorrei"
"parlerei a quei due che 'nsieme vanno,","parlare con questi due, che vanno l'uno vicino all'altro"
e paion sì al vento esser leggeri”.,e che sembrano entrambi così leggeri nel vento».
Ed elli a me: “Vedrai quando saranno,Egli rispose: «Aspetta che arrivino più vicino;
più presso a noi; e tu allor li priega,"chiamali poi, in nome di questo amore"
"per quello amor che i mena, ed ei verranno”.","che li guida sempre, e ti risponderanno»."
"Sì tosto come il vento a noi li piega,","Appena il vento li ha spinti verso di noi,"
"mossi la voce: “O anime affannate,","Io feci loro segno e dissi: «Anime inconsolate,"
"venite a noi parlar, s'altri nol niega!”.","Parlateci per un momento, se nulla lo vieta!”."
Quali colombe dal disio chiamate,E come verso il nido si affollano le colombe
con l'ali alzate e ferme al dolce nido,"che chiama il desiderio, le ali spiegate,"
"vegnon per l'aere, dal voler portate;","piuttosto che per il loro furto, per l'amore portato via,"
"cotali uscir de la schiera ov'è Dido,",del gruppo di Didon così si separarono
"a noi venendo per l'aere maligno,","e si avvicinarono a noi attraverso l'aria infetta,"
sì forte fu l'affettüoso grido.,forzata dal potere della chiamata amorosa.
“O animal grazïoso e benigno,"«O spirito grazioso, così pieno di cortesia,"
che visitando vai per l'aere perso,"che ci viene a visitare in mezzo a queste tenebre,"
"noi che tignemmo il mondo di sanguigno,","noi, il cui sangue un tempo aveva contaminato il mondo,"
"se fosse amico il re de l'universo,","se fossimo amici del re dell'universo,"
"noi pregheremmo lui de la tua pace,","Lo imploreremo che ti dia la pace,"
poi c'hai pietà del nostro mal perverso.,per averti appiattito sui nostri crudeli tormenti.
"Di quel che udire e che parlar vi piace,","Dicci cosa vuoi ascoltare o parlare,"
"noi udiremo e parleremo a voi,","perché ti ascolteremo e ti parleremo,"
"mentre che 'l vento, come fa, ci tace.",se il vento vuole mantenere il riposo che promette.
Siede la terra dove nata fui,La terra dove sono nato è una città seduta
su la marina dove 'l Po discende,"alla fine di questa spiaggia dove il Po viene a morire,"
per aver pace co' seguaci sui.,"o meglio trovare la pace, con i suoi tributari."
"Amor, ch'al cor gentil ratto s'apprende,","Amore, che presto prende nei cuori generosi,"
prese costui de la bella persona,"seduceva questo, grazie a questa bella parvenza"
che mi fu tolta; e 'l modo ancor m'offende.,che ho perso così dolorosamente.
"Amor, ch'a nullo amato amar perdona,","Amore, che fa tanto amati quanto innamorati,"
"mi prese del costui piacer sì forte,","venne ad infiammare così forte il mio cuore per questo,"
"che, come vedi, ancor non m'abbandona.","che è, lo vedi bene, lungi dall'abbandonarmi."
Amor condusse noi ad una morte.,Amore ci condusse verso una sola morte:
Caina attende chi a vita ci spense”.,Caino aspetta colui che ci ha lasciato la vita”.
Queste parole da lor ci fuor porte.,E fu su queste parole che il suo discorso terminò.
"Quand'io intesi quell'anime offense,","Mentre ascoltavo queste anime tormentate,"
"china' il viso, e tanto il tenni basso,",abbassavo lo sguardo e restavo muto;
fin che 'l poeta mi disse: “Che pense?”.,"Ma il poeta disse: ""A che cosa pensi?"""
