Original,Translate_EN,Translate_IT_1
"Figluola mia, chi vuol gioir d’Amore,","“My daughter, whoever wants to take delight in Love","Mia figlia, chi vuole deliziarsi dell'Amore"
Convien ch’e’ sapia i suo’ comandamenti.,must know his commandments.,deve conoscere i suoi comandamenti.
Ver è ched e’ ve n’à due dispiacienti:,"In truth, two of these are unpleasant:","In verità, due di questi sono spiacevoli:"
"Chi se ne ’nbriga,   sì fa gran follore.",whoever gets tripped up by these commits great foolishness.,Chi viene inciampato da questi commette una grande sciocchezza.
L’un dicie che ’n un sol luogo   il tu’ cuore,One commandment says that you should give your heart,Un comandamento dice che dovresti dare il tuo cuore
"Tu metta, sanza farne partimenti;",to only one person and not share it with others;,a una sola persona e non condividerla con gli altri;
L’altro vuol che•ssie largo in far presenti:,the second requires generosity in giving gifts:,il secondo richiede generosità nel dare doni:
"Chi di ciò ’l crede, falleria ancor[e].",whoever believes Love in this would make a grave mistake.,Chiunque creda che l'Amore in questo farebbe un grave errore.
"I•nulla guisa, figlia, vo’ sia larga,","In no way, daughter, do I want you to be generous,","In nessun modo, figlia, voglio che tu sia generosa,"
Né che ’l tu’ cuor   tu metti in un sol luogo;,nor to put your heart in only one place;,né mettere il tuo cuore in un solo luogo;
"Ma, se mi credi, in più luoghi lo [lar]ga.","but, if you believe me, spread it out in many places.","ma, se mi credete, spargetelo in molti luoghi."
"Se dài presenti,   fa che vaglian poco:","And if you give gifts, make sure they’re worth little;","E se fate regali, assicuratevi che valgano poco;"
"Che, s’e’ ti dona Lucca, dàgli Barga.","if he gives you Lucca, give him Barga.","Se ti dà Lucca, dagli Barga."
Così sarai tuttor   Donna-del-Guocho.,In this manner you will always control the game.”,In questo modo si sarà sempre il controllo del gioco.
