Original,Translate_IT
"“O Padre nostro, che ne' cieli stai,","""Padre nostro, tu che abiti nei cieli,"
"non circunscritto, ma per più amore","Non circoscritto, ma dal più grande amore"
"ch'ai primi effetti di là sù tu hai,","Tu porti i primi effetti sull'alto,"
laudato sia 'l tuo nome e 'l tuo valore,Sia lodato il tuo nome e la tua onnipotenza
"da ogne creatura, com'è degno","Per ogni creatura, come si addice è"
di render grazie al tuo dolce vapore.,Rendere grazie alla tua dolce effluenza.
"Vegna ver' noi la pace del tuo regno,","Vieni a noi la pace del tuo dominio,"
"ché noi ad essa non potem da noi,","Per esso non possiamo da noi stessi,"
"s'ella non vien, con tutto nostro ingegno.","Se non viene, con tutto il nostro intelletto."
Come del suo voler li angeli tuoi,Come i tuoi angeli della loro volontà
"fan sacrificio a te, cantando osanna,","Fai un sacrificio a te, Osanna cantando,"
così facciano li uomini de' suoi.,Cosi' come tutti gli uomini facciano loro sacrifici.
"Dà oggi a noi la cotidiana manna,","Dacci oggi la nostra manna quotidiana,"
sanza la qual per questo aspro diserto,Senza che in questa ruvida natura selvaggia
a retro va chi più di gir s'affanna.,Indietro va colui che fatica di più per avanzare.
E come noi lo mal ch'avem sofferto,E come noi la trasgressione che abbiamo sofferto
"perdoniamo a ciascuno, e tu perdona","Scusaci l'un l'altro, perdonami."
"benigno, e non guardar lo nostro merto.","Benignamente, e non considerare il nostro deserto."
"Nostra virtù che di legger s'adona,","La nostra virtù, che è facilmente o'ercome,"
"non spermentar con l'antico avversaro,","Non mettere alla prova con il vecchio avversario,"
ma libera da lui che sì la sprona.,"Ma tu da colui che lo spinge così, liberalo."
"Quest'ultima preghiera, segnor caro,","Quest'ultima petizione in verità, mio Signore,"
"già non si fa per noi, ché non bisogna,","Non è fatto per noi stessi, che non ne hanno bisogno,"
ma per color che dietro a noi restaro”.,"Ma per loro che sono rimasti dietro di noi."""
Così a sé e noi buona ramogna,Così per se stessi e noi buon progresso
"quell'ombre orando, andavan sotto 'l pondo,","Quelle ombre che implorano, sono andate sotto un peso"
"simile a quel che talvolta si sogna,","Come a quello di cui a volte sogniamo,"
disparmente angosciate tutte a tondo,Inegualmente in angoscia rotonda e rotonda
"e lasse su per la prima cornice,","E stanco tutto, su quel cornicione,"
purgando la caligine del mondo.,Ripulire le macchie di fumo del mondo.
"Se di là sempre ben per noi si dice,","Se ci sono sempre parole buone per noi,"
