Original,Translate_EN,Translate_IT_1
Com’era gito il fatto ebi contato,"I told the tale as it had happened,","Ho raccontato la storia come era successo,"
"A motto a motto, di filo in aghuglia,","word for word, leaving nothing out,","parola per parola, non tralasciando nulla,"
"Al buono Amico, che non fu di Puglia,","to my good Friend, who was not from Apulia.","al mio buon amico, che non era pugliese."
"Che m’ebe molto tosto confortato,","After having consoled me,","Dopo avermi consolato,"
E disse: «Guarda che ’n sie acietato,he said: “Make sure you do not accept,"Disse: ""Assicuratevi di non accettare"
"Il consiglio Ragion, ma di te il buglia,","Reason’s advice, but keep it far removed from you,","Ragione consiglia, ma tenetelo lontano da voi,"
Ché ’ fin’ amanti tuttor gli tribuglia,because Reason always troubles courtly lovers,perché la ragione disturba sempre gli amanti cortesi
"Con quel sermon, di che•tt’à sermonato.",with that sermon she has preached to you.,con quel sermone che ti ha predicato.
"Ma ferma in ben amar tutta tua ’ntenza,","But put all your desire in loving properly,","Ma mettete tutto il vostro desiderio nell'amore come si deve,"
"E guarda al Die d’Amor su’ ’managio,","and keep your pledge to the God of Love,","e mantenete la vostra promessa al Dio dell'Amore,"
Ché tutto vincie lungia soferenza.,for long suffering can conquer everything.,perché la sofferenza lunga può conquistare tutto.
"Or metti a me intendere il coragio,","Now give me your full attention,","Ora dammi tutta la tua attenzione,"
Chéd i’ ti dirò tutta la sentenza,for I will tell you the entire story,perché ti racconterò tutta la storia
"Di ciò, che dé far fin Amante sagio.",of what a wise refined lover must do.”,di che cosa un amante raffinato saggio deve fare.
