Original,Translate_IT_1
"Poi che poste sono l'altrui oppinioni di nobilitade, e mostrato è quelle riprovare a me esser licito, verrò a quella parte ragionare che ciò ripruova; che comincia, sì come detto è di sopra: Chi diffinisce: 'Omo è legno animato'. E però è da sapere che l'oppinione dello Imperadore - avegna che «con difetto» quella ponga - nell'una particola, cioè là dove disse «belli costumi», toccò delli costumi di nobilitade, e però in quella parte riprovare non s'intende.","Ora che ho esposto le opinioni di altri sulla nobiltà, e ho dimostrato che ho il diritto di confutarle, è tempo di commentare da parte del poema che contiene questa confutazione. Questo inizia, come ho notato sopra, Chi dà la definizione ""l'uomo è legno che è animato."" Dovrei spiegare che l'opinione dell'imperatore che le maniere fanno parte della nobiltà, riflessa nella definizione in cui parla di ""mode piacevoli,"" è corretto per quanto va (anche se non è tutta la verità), e quindi non intendo confutarlo su questo punto."
"L'altra particola, che di natura di nobilitade è del tutto diversa, s'intende riprovare; la quale due cose pare dicere quando dice «antica ricchezza», cioè tempo e divizie, le quali a nobilitade sono del tutto diverse, come detto è [e] come di sotto si mostrerà. E però riprovando si fanno due parti: prima si ripruovano le divizie, e poi si ripruova, lo tempo essere cagione di nobilitade. La seconda parte comincia: Né voglion che vil uom gentil divegna.","Quello che intendo confutare è l'altra parte, il cui contenuto è del tutto estraneo alla nobiltà: lì la sua opinione sembra implicare due componenti, nelle parole ricchezza secolare, vale a dire, tempo e ricchezze, che sono del tutto estranei alla nobiltà, come è stato detto e come dimostrerò di seguito. La mia confutazione, quindi, è in due parti: prima confuto l'idea che le ricchezze sono la causa della nobiltà, poi faccio lo stesso rispetto al tempo. La seconda parte comincia: avvocati di quella visione sostengono che un uomo di base non può diventare nobile."
"E da sapere è che, riprovate le divizie, è riprovata non solamente l'oppinione dello Imperadore in quella parte che le divizie tocca, ma eziandio quella del vulgo interamente, che solo nelle divizie si fondava. La prima parte in due si divide: ché nella prima generalmente si dice lo 'mperadore essere stato erroneo nella diffinizione di nobilitade; secondamente si mostra ragione perché. E comincia questa seconda parte: ché le divizie, sì come si crede.","Si deve riconoscere che quando la mia confutazione si occupa di ricchezze, essa confuta non solo quella parte dell'opinione dell'imperatore che tocca le ricchezze, ma l'opinione della gente comune nella sua interezza, che fa dipendere la nobiltà solo dalle ricchezze. La prima parte ha due suddivisioni: nella prima di queste affermo semplicemente che l'imperatore si è sbagliato nella sua definizione di nobiltà; nella seconda do le mie ragioni per dire questo. La seconda suddivisione inizia: Per, opinione comune nonostante, ricchezze."
"Dico adunque: Chi diffinisce: 'Omo è legno animato', che prima dice non vero, cioè falso, in quanto dice 'legno'; e poi «parla non intero», cioè con difetto, in quanto dice 'animato', non dicendo 'razionale', che è differenza per la quale [l']uomo dalla bestia si parte.","Dichiaro, quindi, che chi dà la definizione ""l'uomo è legno che è animato"" prima afferma ciò che non è vero, cioè qualcosa di falso, dove parla di ""legno,"" e poi aggiunge al suo errore qualcosa che non è del tutto accurato, cioè la sua affermazione non è del tutto corretta, in quanto dice ""animato"" senza fare alcun riferimento a ""razionale,"" anche se è la razionalità che distingue gli uomini dagli animali."
"Poi dico che per questo modo fu erroneo in diffinire quelli che «tenne impero»: non dicendo 'imperadore' ma 'quelli che tenne imperio', a mostrare, come detto è di sopra, questa cosa diterminare essere fuori d'imperiale officio. Poi dico similemente lui errare, che puose della nobilitade falso subietto, cioè 'antica ricchezza', e poi procedette a 'defettiva forma' o vero differenza, cioè 'belli costumi', che non comprendono ogni formalitade di nobilitade, ma molto picciola parte, sì come di sotto si mostrerà.","Continuo a dire che Colui che ha tenuto l'imperatore è stato altrettanto sbagliato nella sua definizione. Evito la parola ""imperatore"" e parlo di ""quello che ha tenuto l'imperatore"" per chiarire che (come ho discusso sopra) determinare ciò che la verità è in questa materia cade al di fuori della portata dell'ufficio imperiale. Continuo dicendo che anche lui si è sbagliato, dal momento che prima ha commesso un errore per quanto riguarda il tema generico della nobiltà, dicendo che era ""vecchia ricchezza"" e poi ha aggiunto una specifica difettosa o differenziante qualità, vale a dire, ""maniere piacevoli"" . Questi ultimi non coprono l'intera gamma di qualità denotando nobiltà; anzi essi coprono solo una frazione di loro, come mostrerò di seguito."
"E non è da lasciare, tutto che 'l testo si taccia, che messere lo Imperadore in questa parte non errò pur nelle parti della diffinizione, ma eziandio nel modo del diffinire, avegna che, secondo la fama che di lui grida, elli fosse loico e cherico grande: [acciò] che la diffinizione della nobilitade più degnamente si faccia dalli effetti che da' principii, con ciò sia cosa che essa paia avere ragione di principio, che non si può notificare per cose prime, ma per posteriori.","Anche se il testo è silenzioso sul punto, non si dovrebbe passare sopra che la sua signoria l'imperatore errato in questa materia non solo per quanto riguarda le componenti che pone nella sua definizione, ma nel modo stesso in cui egli ha costruito la sua definizione, anche se era un grande pensatore e studioso (come indicato dalla grande reputazione che ancora gode).Per nobiltà sarebbe più correttamente definito in riferimento ai suoi effetti che alle sue fonti, in quanto sembrerebbe necessario classificare la nobiltà come fonte, e una fonte non può essere descritto in termini di principi del suo stesso essere, ma in termini di ciò che risulta dalla sua esistenza."
"Poi quando dico: ché le divizie, sì come si crede, mostro come elle non possono [pro]curare nobilitade, perché sono vili; e mostro quelle non poterla tòrre, perché sono disgiunte molto da nobilitade. E pruovo quelle essere vili per uno loro massimo e manifestissimo difetto; e questo fo quando dico: «Che siano vili appare».","Dove dico Per, opinione comune nonostante, ricchezze, io mostro, prima che le ricchezze non possono causare nobiltà, perché sono base, poi che non possono togliere nobiltà, perché sono abbastanza distinti da esso. Dimostro che sono alla base attirando l'attenzione su uno dei loro più importanti e più evidenti difetti, nelle linee che iniziano: È chiaro che le ricchezze sono base e imperfetta."
"Ultimamente conchiudo, per virtù di quello che detto è di sopra, l'animo diritto non mutarsi per loro transmutazione: ch'è pruova di quello che detto è di sopra, quelle essere da nobilitade disgiunte, per non seguire lo effetto della congiunzione. Ove è da sapere che, sì come vuole lo Filosofo, tutte le cose che fanno alcuna cosa, conviene essere prima quelle perfettamente in quello essere: onde dice nel settimo della Metafisica: «Quando una cosa si genera da un'altra, generasi di quella essendo in quello essere».","La mia conclusione finale riguarda un argomento di cui sopra: la mente retta non è frantumata dalla loro perdita. Questa è la prova di ciò che è stato appena menzionato, che le ricchezze sono qualcosa di molto distinto dalla nobiltà, poiché l'effetto che ne deriverebbe se fossero collegate non avviene, infatti,. Qui dobbiamo ricordare il principio, affermato dal filosofo, che in ogni causalità la perfezione nelle cose causate deve prima appartenere al più alto grado all'essenza della causa stessa. Nella Metafisica egli afferma: ""Quando una cosa è portata in essere da un'altra, essa è portata in essere da una causa la cui essenza stessa possiede la perfezione causata."""
"Ancora è da sapere che ogni cosa che si corrompe, sì si corrompe precedente alcuna alterazione, e ogni cosa che è alterata conviene essere congiunta coll'alterante, sì come vuole lo Filosofo nel settimo della Fisica e nel primo Di Generazione.","Allo stesso modo, va ricordato che quando qualcosa decade lo fa come risultato di un cambiamento in esso effettuato, e tutto ciò che subisce il cambiamento deve essere in contatto con la causa che produce il cambiamento, come dice il filosofo nella Fisica e nella On Generation. Avendo fatto questi punti, vado a dire che la ricchezza non può essere la fonte della nobiltà, come altri pensano, e aggiungo (per trarre ulteriore la differenza tra i due) che né possono togliere la nobiltà a chi la possiede."
"Queste cose proposte, così procedo, e dico che le divizie, come altri credea, non possono dare nobilitade; e a mostrare maggiore diversitade avere con quella, dico che non la possono tòrre a chi l'hae. Dare non la possono, con ciò sia cosa che naturalmente siano vili, e per la viltade siano contrarie alla nobilitade. E qui s'intende viltade per degenerazione, la quale alla nobilitade s'oppone; con ciò sia cosa che l'uno contrario non sia fattore dell'altro né possa essere, per la prenarrata cagione, la quale brievemente s'aggiunge allo testo, dicendo: poi chi pinge figura, [se non può esser lei, non la può porre].","Le ricchezze non possono essere la fonte della nobiltà, poiché esse sono alla base della loro stessa natura; questa base le rende contrarie alla nobiltà. La base qui è equivalente alla ""causa dell'imperfezione""; ciò rende la base l'opposto della nobiltà, perché qualunque cosa provochi un effetto contrario a qualcosa è, e deve essere, essa stessa contraria a quella cosa, per la ragione data. Per questo motivo mi affaccio brevemente quando aggiungo al testo: E sappiamo che un pittore."
"Onde nullo dipintore potrebbe porre alcuna figura, se intenzionalmente non si facesse prima tale quale la figura essere dee. Ancora: tòrre non la possono, però che da lungi sono di nobilitade, e per la ragione prenarrata, che [ciò che] àltera o corrompe alcuna cosa, convegna essere congiunto con quella.","Per nessun pittore può rappresentare esternamente qualsiasi immagine che non ha creato prima nella propria mente esattamente come sta per apparire. Inoltre, la ricchezza non può togliere la nobiltà da nessuno, poiché è lontano da esso, di nuovo per la ragione di cui sopra: qualsiasi cosa cambia, o fa decadere, deve essere in contatto con esso."
