Original,Translate_EN,Translate_IT_1
"E se•ttua donna cade in malatia,","“And if your lady becomes ill,","E se la tua signora si ammala,"
"Sì pensa che•lla faccie ben servire,","make sure that she’s served well,","assicurarsi che lei abbia servito bene,"
Né•ttu da•llei giamai non ti partire.,and never leave her side:,e non lasciare mai il suo lato:
"Dàlle vivanda, c’a piacier le sia,",give her food that she likes;,darle del cibo che le piace;
"E po’ sì•lle dirai: “Anima mia,","and then you’ll say to her: ‘My soul,",e poi le dirai:
Istanotte ti tenni in mio dormire,last night in my dream I held you,ieri notte nel mio sogno ti ho tenuto
"Intra.lle braccia sana, al me’ disire:","in my arms, completely cured, as I hoped and prayed:","tra le mie braccia, completamente guarito, come speravo e pregavo:"
"Molto mi fecie Idio gran cortesia,","certainly God granted me a great favor,","In verità Dio mi ha concesso un grande favore,"
Che mi mostrò sì dolze avisione”.,when he showed me such a sweet vision.’,quando mi ha mostrato una visione così dolce.
"Po’ dica, ch’ella l’oda, come sagio,","Then say, as a wise man would, so that she may hear,","Allora di': ""Come farebbe un uomo saggio, perché senta:"
"Che per lei fara’ far gran prociessione,","that for her you’ll have a great ceremony performed,","che per lei avrete una grande cerimonia eseguita,"
"O•ttu n’andra’ in lontan pellegrinagio,","or that you’ll go on a long pilgrimage,","o che tu vada in un lungo pellegrinaggio,"
Se Giesocristo le dà guerigione.,if Jesus Christ heals her.,se Gesù Cristo la guarisce.
"Così avrai il su’ amor, e ’l su’ coragio».","Thus, you’ll have her love and her heart.”","Così, avrete il suo amore e il suo cuore."
