Original,Translate_EN,Translate_IT_1
"Francheza sì s’è de l’oste partita,","Sincerity left the army of the barons,","La sincerità ha lasciato l'esercito dei baroni,"
E Amor sì•ll’à ben incaricato,and Love gave her instructions,e l'amore le diede istruzioni
"Ch’e’•lli dica, a la madre, ogne su’ stato:",to tell his mother all about his current state –,per raccontare a sua madre tutto del suo stato attuale
"Com’egli è a gran rischio de la vita,","how his life is in great danger,","come la sua vita è in grande pericolo,"
E che sua forza è molto infiebolita;,and how his strength is greatly diminished –,e come la sua forza è notevolmente diminuita
Ch’ella faccia che per lei si’ aiutato.,and to do what she can to help him.,e di fare il possibile per aiutarlo.
"Allor Francheza sì à cavalcato,",Then Sincerity rode off,Poi la sincerità è scappata
"E dritto a Ciecierono sì se n’è ita,","and went straight to Mount Cecerone,","e andò dritto al monte Cecerone,"
Credendo che vi fosse ca’ diessa.,believing that the goddess would be there;,credendo che la dea sarebbe stata lì;
"Ma el’era ita   in boscho per cacciare,",but she had gone into the woods to hunt;,ma era andata nel bosco a cacciare;
Sì che Francheza n’andò dritt’a essa.,and so Sincerity went directly to her.,E cosi' la Sincerita' e' andata direttamente da lei.
"Sott’una quercia la trovò ombreare,",She found her resting in the shade of an oak tree.,Ha trovato il suo riposo all'ombra di una quercia.
"Quella sì tosto in ginochie s’è messa,",Sincerity quickly kneeled before her,La sincerità si inginocchiò rapidamente davanti a lei
E dolzemente l’ebe a salutare:,and greeted her courteously.,e l'accolse cortesemente.
