Original,Translate_EN,Translate_IT_1
"Gielosia disse: «I’ prendo a me la guarda,",Jealousy replied: “I assume the responsibility,"La gelosia rispose: ""Io mi assumo la responsabilità."""
"Ch’a ben guardar il Fior è mia credenza,","of guarding the Flower,","di guardia al Fiore,"
"Ch’i’ avrò giente di tal provedenza,",for I believe my associates are so wise,perché credo che i miei associati siano così saggi
Ched i’ non dotto già che Veno gli arda».,that I have no fear that Venus will enflame them.”,che non ho paura che Venere li infiamma.
"Al giardin se n’andò, fier’ e ghagliarda,","To the garden she went, proud and strong,","Nel giardino andò, orgogliosa e forte,"
"Ed ivi si trovò Bellacoglienza,","and, finding Fair Welcome there,","e, trovando il giusto benvenuto,"
"E disele: «Tu à’ fatta tal falenza,",she said to her: “You have made such a mistake,"Le disse: ""Avete commesso un tale errore."""
Ch’i’ ti tengho per folle e per musarda.,that I consider you to be senseless and foolish.,che vi considero insensati e sciocchi.
"Ed a voi dico, Paur’ e Vergognia,","And to you, Fear and Modesty, I say","E a te, Paura e Modestà, dico"
"Che chi di Fior guardar in voi si fida,",that whoever relies on you to guard the Flower,che chiunque faccia affidamento su di te per proteggere il Fiore
Cierta son ch’e’ non à lett’ a Bolognia.,I’m sure that he has not studied in Bologna.,Sono certo che non ha studiato a Bologna.
"E quello Schifo, che punt’or non grida,","And as for Resistance, who now does not boast at all,","E per quanto riguarda la Resistenza, che ora non si vanta affatto,"
"Gli varia me’ ch’e’ fosse in Catalognia,","it would be better for him to be in Catalonia,","sarebbe meglio per lui essere in Catalogna,"
Sed e’ non guarda   ben ciò ch’egli à ’n guida».,if he cannot protect that which is in his care.”,se non è in grado di proteggere ciò che è in sua cura.
