Original,Translate_EN,Translate_IT_1
E se•lla donna punto s’avedesse,“And if the lady were aware at all,E se la signora ne fosse a conoscenza...
"Che quel dolente fosse ravisato,",that that sad jerk had understood,che quel triste idiota aveva capito
"Ch’e’ troppo larga mente l’à donato,",that he had given her much too generously,che le aveva dato troppo generosamente
"E ch’e’ di sua follia si ripentesse,","and that he might repent of his foolishness,","per pentirsi della sua stoltezza,"
Allora in presto domandar dovesse,then she should ask him to lend her money,allora dovrebbe chiedergli di prestarle dei soldi.
E dir di renderglile a dì nomato;,and say she’ll pay him back on a specific day;,e dice che lo ripagherà in un giorno specifico;
Ma egli è ben in mia lezion vietato,"but in my teachings this is forbidden,","ma nei miei insegnamenti questo è proibito,"
Ched ella mai nessun non ne rendesse.,because she should never return anything to anyone.,Perche' non dovrebbe mai restituire nulla a nessuno.
E quando un altro vien gli faccia segnio,"And when another man comes to her, let her give him a sign","E quando un altro uomo viene da lei, gli dia un segno"
"Ched ella sia crudelmente cruciata,","that she is cruelly tormented,","che è crudelmente tormentata,"
E dica che•lla roba sua sia ’n pegnio:,and let her say that her dress is in hock:,e lasciate che dica che il suo vestito è in hock:
"“Molto mi duole, c’uon crede ch’i’ si’ agiata”.",‘It grieves me much that people think I am so wealthy’,Mi addolora molto che la gente pensi che io sia così ricco
"E que’ procaccierà danari, o pegnio,","And that one will get her the money or the pawn,","E quello le dara' i soldi o la pedina,"
Sì che la roba sua fie dispegniata.,so that her dress may be returned to her.”,in modo che il suo vestito può essere restituito a lei.
