Original,Translate_EN,Translate_IT_1
Del molto olor ch’al cor m’entrò basciando,Of the great fragrance that entered my heart,Della grande fragranza che è entrata nel mio cuore
"Quel pretioso Fior, che tanto aulia,","when I kissed the precious and sweet-smelling Flower,","quando ho baciato il fiore prezioso e profumato,"
Contar né dir per me non si poria.,I am unable to speak or tell;,Non sono in grado di parlare o dire;
Ma dirò come ’l mar s’andò   turbando,but I will tell how the sea became tempestuous,ma dirò come il mare è diventato tempestoso
"Per Mala-Bocha, quel ladro normando,","because of Bad Mouth, that Norman thief,","a causa di Bad Mouth, quel ladro normanno,"
Che se n’avide e svegliò Gielosia,who saw the event and awakened Jealousy,che vide l'evento e risvegliò la gelosia
"E Chastità, ché ciaschuna dormia,","and Chastity, for they were sleeping;","e la castità, perché dormivano;"
Perch’i’ fu’ del giardin rimesso in bando.,for this reason I was again cast out of the garden.,per questo motivo sono stato nuovamente cacciato dal giardino.
"E sì vi conterò de la forteza,",And now I will tell you of the fortress,E ora vi racconterò della fortezza
"Dove Bellacoglienza fu ’n prigione,","Where Fair Welcome was imprisoned,","Dove è stato imprigionato Fair Welcome,"
Ch’Amor abatté poi per su’ prodezza;,the one that Love destroyed with his strength.,quello che l'Amore ha distrutto con la sua forza.
E come Schifo mi tornò fellone,I will also tell how Resistance became hostile towards me,Dirò anche come la Resistenza è diventata ostile verso di me
E lungo tenpo mi tene in distreza;,"and kept me in distress for a very long time,","e mi tenne in angoscia per molto tempo,"
E come ritornò a me Ragione.,and how Reason returned to me.,e come la Ragione è ritornata da me.
