Original,Translate_EN,Translate_IT_1
Così n’andaro in lor pellegrinagio,"And so the good pilgrims, female and male,","E così i buoni pellegrini, donne e maschi,"
La buona pellegrina e ’l pellegrino;,went on their pilgrimage;,sono andati in pellegrinaggio;
"Ver’ Mala-Bocca tener lor camino,","they headed straight for Bad Mouth,","si dirigono dritti verso Bad Mouth,"
Ch’e’ troppo ben guardava su’ passagio.,who very carefully guarded his gate.,che custodiva molto attentamente il suo cancello.
"E Falsenbiante, malizioso e sagio,",Malicious and wise False Seeming,Malicio e saggio Falso Semendo
"Il salutò col capo molto chino,","greeted him with his head bent low,","lo salutava con la testa piegata verso il basso,"
"E’ sì gli dissi: «I’ son mastro divino,","saying: “I am a master of theology,","dicendo: Io sono un maestro di teologia,"
Sì siàn venuti a voi per ostellagio».,and we have come to you to obtain hospitality.”,e siamo venuti a voi per ottenere l'ospitalità.
"Mala-Bocca conobe ben Senbiante,","Bad Mouth clearly recognized Seeming,","La Mouth Cattiva ha chiaramente riconosciuto l'apparire,"
Ma non ch’e’•ffose Falso; sì rispuose,"but not that he was False; thus, he replied","ma non che fosse Falso; così, egli rispose"
C’ostel darebe lor: «Venite avant[e]».,that he would give them shelter: “Come in.”,che avrebbe dato loro riparo:
"Ad Astinenza molto mente puose,","He observed Abstinence very closely,","Osservava molto da vicino l'Astinenza,"
"Ch’e’ veduta l’avea per volte mante,",for he had seen her many times;,"perché l'aveva vista molte volte,"
Ma per Costretta già mai no•lla spuose.,but he did not recognize her as Forced.,ma non la riconobbe come forzata.
