Original,Translate_IT
"Luogo è in inferno detto Malebolge,",Un luogo di inferno... chiamato sacco di male...
"tutto di pietra di color ferrigno,","è color ferro, interamente costruito di pietra,"
come la cerchia che dintorno il volge.,Così anche le dighe che lo coprono intorno.
Nel dritto mezzo del campo maligno,Grado al centro di questo paese di castigo
"vaneggia un pozzo assai largo e profondo,","Sbadiglia un pozzo, lontano, con un profondo buio."
di cui suo loco dicerò l'ordigno.,Di questo parleremo nel suo luogo.
Quel cinghio che rimane adunque è tondo,E camminando tra grotta e parete rocciosa
"tra 'l pozzo e 'l piè de l'alta ripa dura,",Anello così le dighe che la valle dieci
e ha distinto in dieci valli il fondo.,Le sezioni formano nel fondo profondo.
"Quale, dove per guardia de le mura",Come un castello di trincee multiple.
"più e più fossi cingon li castelli,",Dietro di essa si nascondono le mura
"la parte dove son rende figura,",E resistete ai nemici in modo più sicuro.
tale imagine quivi facean quelli;,Così questo luogo di piaghe era cinto;
e come a tai fortezze da' lor sogli,E come coltivare i ponti all'altra spiaggia
"a la ripa di fuor son ponticelli,","Da tali serrature fisse per colpire il cancello,"
così da imo de la roccia scogli,"Così saltarono i denti dalla parete della roccia,"
movien che ricidien li argini e ' fossi,La media di wall e trincee prima e sono andati.
infino al pozzo che i tronca e raccogli.,"Come raggi di ruote, fino al bordo della fontana."
"In questo luogo, de la schiena scossi","Appena siamo riusciti a saltare dalla croce di Gerion,"
"di Gerïon, trovammoci; e 'l poeta",Così il mio padrone andò a sinistra e ordinò
"tenne a sinistra, e io dietro mi mossi.","Anche a me, per arrivare alle sue tracce."
"A la man destra vidi nova pieta,",E completamente soddisfatto ho visto la prima valle
"novo tormento e novi frustatori,","A destra, dove i miei sguardi gridavano le lamentele."
di che la prima bolgia era repleta.,Dei nuovi castighi e dei nuovi tormenti.
Nel fondo erano ignudi i peccatori;,"Erano peccatori nudi nelle profondità,"
"dal mezzo in qua ci venien verso 'l volto,","Divisa, perché qui la folla si è rivoltata contro di noi,"
"di là con noi, ma con passi maggiori,","E là con noi, solo che correvano più veloce;"
"come i Roman per l'essercito molto,",Come si pratica a Roma durante l'anno giubilare
"l'anno del giubileo, su per lo ponte",Arrestare il ponte per la transizione
"hanno a passar la gente modo colto,","Se un'ansia troppo grande, quindi..."
che da l'un lato tutti hanno la fronte,"Che qui sono girati con le facce,"
"verso 'l castello e vanno a Santo Pietro,","Quelli che vanno a San Pietro, dopo il castello,"
da l'altra sponda vanno verso 'l monte.,Gli altri si dirigono verso il monte.
"Di qua, di là, su per lo sasso tetro",Su una pietra nera saltava una consolazione qua e là
"vidi demon cornuti con gran ferze,",Da diavoli... da orribili... cornuti.
che li battien crudelmente di retro.,L'hanno picchiata da dietro.
Ahi come facean lor levar le berze,Come hanno imparato a correre al primo colpo!
a le prime percosse! già nessuno,"Come loro, non aspettando il secondo colpo,"
le seconde aspettava né le terze.,Si sono allontanati con salti lunghi e frenetici!
"Mentr'io andava, li occhi miei in uno","Così cadde su uno che era stato colpito dal flagello,"
furo scontrati; e io sì tosto dissi:,"Ora, il mio occhio giù, dove ho pensato:"
“Già di veder costui non son digiuno”.,Che non è rimasto estraneo a me sulla terra.
Per ch'ïo a figurarlo i piedi affissi;,"Guardo con attenzione per guardarlo,"
"e 'l dolce duca meco si ristette,","E il mio capo si fermò,"
e assentio ch'alquanto in dietro gissi.,Che stavo solo facendo dei passi indietro.
E quel frustato celar si credette,"Anche se cerca, girato verso il fondo,"
"bassando 'l viso; ma poco li valse,","Per amare me con la figura e la faccia,"
"ch'io dissi: “O tu che l'occhio a terra gette,","Ma, pur riconoscendolo, gridai:"
"se le fazion che porti non son false,","""Se le tue mosse non incitano all'errore,"
Venedico se' tu Caccianemico.,Io dico che tu sei Venezia.
Ma che ti mena a sì pungenti salse?”.,Ma perche' sei cosi' agghiacciante?
Ed elli a me: “Mal volontier lo dico;,"""Mi dispiace dirtelo,"" disse, ""ma si rompe"
"ma sforzami la tua chiara favella,","La tua chiara parola che mi ha sconfitto,"
che mi fa sovvenir del mondo antico.,Perche' il vecchio tempo riporta indietro la mia mente.
I' fui colui che la Ghisolabella,"Sono io che ho invaso Ghifolen,"
"condussi a far la voglia del marchese,","Che ha fatto la volontà del Marco,"
come che suoni la sconcia novella.,Anche la voce è sfigurata.
E non pur io qui piango bolognese;,E da Bologna è sulla stessa strada
"anzi n'è questo loco tanto pieno,","Da questo tormento così tanta gente,"
che tante lingue non son ora apprese,"Come Jetzo, questa citta' ha pochi cittadini."
a dicer 'sipa' tra Sàvena e Reno;,E se ti viene in mente un dubbio...
"e se di ciò vuoi fede o testimonio,","Pensa cosi', per poter contare sulla mia parola."
rècati a mente il nostro avaro seno”.,"Come l'avidità ci ha conquistato i cuori."""
Così parlando il percosse un demonio,"Il linguaggio, e un diavolo è venuto per incasinare,"
"de la sua scurïada, e disse: “Via,","Con un flagello altamente feroce, ha detto:"
ruffian! qui non son femmine da conio”.,"""Fuori, Kuppler, non ci sono donne qui."""
I' mi raggiunsi con la scorta mia;,"Io andai al Führer, mentre tremavo e timido,"
poscia con pochi passi divenimmo,E ben presto arrivammo in un posto...
là 'v' uno scoglio de la ripa uscia.,Dove dalla parete una roccia si è alzata in avanti.
Assai leggeramente quel salimmo;,E questo pungiglione serve da ponte là;
"e vòlti a destra su per la sua scheggia,",Siamo saliti tutti e due e ci siamo mossi
da quelle cerchie etterne ci partimmo.,A destra da quei cerchi eterni.
Quando noi fummo là dov'el vaneggia,"Presto, dove sotto di noi la roccia come arco"
"di sotto per dar passo a li sferzati,","Si scavava e c'era il passaggio dei frustati,"
"lo duca disse: “Attienti, e fa che feggia","Disse: ""Andato nella stessa direzione,"
"lo viso in te di quest'altri mal nati,","Siamo ancora con quella seconda folla,"
ai quali ancor non vedesti la faccia,Non riuscivamo a vederla dall'inizio.
però che son con noi insieme andati”.,"Abbiate cura delle facce."""
Del vecchio ponte guardavam la traccia,Siamo rimasti ai margini del ponte
"che venìa verso noi da l'altra banda,","E videro lo sciame che ci uscì incontro,"
e che la ferza similmente scaccia.,Perche' il flagello e' andato tutti di fretta.
"E 'l buon maestro, sanza mia dimanda,","Allora la mia voce disse: ""Guarda, ancora con orgoglio nel corridoio,"
"mi disse: “Guarda quel grande che vene,","Colui che non si lamentò,"
e per dolor non par lagrime spanda:,Il dolore di tutti non e' ancora sfuggito a nessun trauma.
quanto aspetto reale ancor ritene!,"Così regale, ancora di forma e di testa!"
"Quelli è Iasón, che per cuore e per senno",Il Jason è colui che con la mente e il coraggio
li Colchi del monton privati féne.,L'ariete rubava al popolo di Kolchis.
Ello passò per l'isola di Lenno,È venuto a Lemnos quando nella sua rabbia
poi che l'ardite femmine spietate,"Le donne che trafissero gelosia ardente,"
tutti li maschi loro a morte dienno.,Tutti gli uomini avevano versato sangue;
Ivi con segni e con parole ornate,"Dove si adornava con parole, ingannevoli."
"Isifile ingannò, la giovinetta","Pazzo di ipsipilen, il giovane cuore,"
che prima avea tutte l'altre ingannate.,Che tutte le donne di Lemnos hanno preso in considerazione.
"Lasciolla quivi, gravida, soletta;",Lì la lasciò incinta nel suo dolore.
tal colpa a tal martiro lui condanna;,Questo lo ha portato qui e ha subito la stessa punizione.
e anche di Medea si fa vendetta.,"Le sofferenze di Medea, un tempo lui gioco e scherzo"
Con lui sen va chi da tal parte inganna;,Anche andare con lui che si scambiano allo stesso modo.
e questo basti de la prima valle,Solo questo è sufficiente davanti alla prima valle
sapere e di color che 'n sé assanna”.,"E a coloro che si distruggono i flagelli dentro."""
Già eravam là 've lo stretto calle,"Tagliando nella croce la seconda diga, portava"
"con l'argine secondo s'incrocicchia,","Il sentiero roccioso su noi, sulle contrapposizioni"
e fa di quello ad un altr'arco spalle.,"Le dighe, qui l'altro arco ha colpito."
Quindi sentimmo gente che si nicchia,"Là, dal secondo sacco, suonava una lamentela stupida,"
"ne l'altra bolgia e che col muso scuffa,",E la gente ci ha visti in fondo
e sé medesma con le palme picchia.,Colpire forte con le mani piatte.
"Le ripe eran grommate d'una muffa,",I lati delle dighe erano muffe
"per l'alito di giù che vi s'appasta,","Dal budello inferiore, che si incollava come una pasta."
che con li occhi e col naso facea zuffa.,Ostili agli occhi e al naso.
"Lo fondo è cupo sì, che non ci basta","Ma prima dello sguardo, per quanto esplorassi, galleggiava;"
loco a veder sanza montare al dosso,"Notte ancora buia, perché l'abisso è profondo,"
"de l'arco, ove lo scoglio più sovrasta.",Finche' non ho cercato l'arco di roccia.
Quivi venimmo; e quindi giù nel fosso,"Da qui, dove lo sguardo misura la profondità."
vidi gente attuffata in uno sterco,"Se ho visto un sacco di gente intrappolata in un profondo fango,"
che da li uman privadi parea mosso.,"E, come mi e' sembrato, e' stata una stronzata umana."
"E mentre ch'io là giù con l'occhio cerco,","Ho cercato e ho visto un capo allungarsi in avanti,"
"vidi un col capo sì di merda lordo,","Ma tutto sporco di feci, non posso..."
che non parëa s'era laico o cherco.,Scoprite se Lai e' un prete.
Quei mi sgridò: “Perché se' tu sì gordo,"Ed egli gridò: ""Che cosa sei così affaticato,"
di riguardar più me che li altri brutti?”.,"""Mi son più che sporcaccione?"""
"E io a lui: “Perché, se ben ricordo,","E io: ""Perché, per me va bene, io la tua faccia"
"già t'ho veduto coi capelli asciutti,","Già visibilmente, da solo con i capelli secchi."
e se' Alessio Interminei da Lucca:,"Alex, ti chiami Interminei,"
però t'adocchio più che li altri tutti”.,"Per questo ti guardo piu' di quelle folle."""
"Ed elli allor, battendosi la zucca:","E lui, battendo la fronte, mi gridò:"
“Qua giù m'hanno sommerso le lusinghe,"""Mi è caduto all'inferno l'adulazione,"
ond'io non ebbi mai la lingua stucca”.,"Quello che ho esercitato lì è stato particolarmente riposo e tranquillità."""
"Appresso ciò lo duca “Fa che pinghe”,",Allora il mio buon maestro mi disse:
"mi disse, “il viso un poco più avante,",Ti inganna e ti cade negli occhi
sì che la faccia ben con l'occhio attinghe,Sei una puttana sporca in quel posto.
di quella sozza e scapigliata fante,Guarda il dito che si gratta e si frigge
"che là si graffia con l'unghie merdose,","Con le unghie vomitate, ora al nuovo orribile"
e or s'accoscia e ora è in piedi stante.,"sprofonda nella merda e ora si mette in piedi,"
"Taïde è, la puttana che rispuose",La puttana Thais e' cosi' disgustosa adesso.
"al drudo suo quando disse ""Ho io grazie","Una volta chiedete: ""Sono con te in favore?"""
"grandi apo te?"": ""Anzi maravigliose!"".","Disse: ""Ehi, fantastico, certo! """
E quinci sian le nostre viste sazie”.,Ma sia saturo il nostro spettacolo qui.
