Original,Translate_EN,Translate_IT_1
"Chi se ’n vuol adirar, sì se n’adiri,","“Whoever wishes to get mad, let him get mad,","Chi vuole arrabbiarsi, lasci che si arrabbi,"
"Chéd i’ vi pur conterò ognie mio fatto,","because I’ll tell you about all my deeds,","perché vi racconterò tutte le mie opere,"
"S’i’ dovess’eser istrutto intrafatto,",even if I should be immediately destroyed,anche se dovessi essere immediatamente distrutto
"O morto, a torto, com’ furo i martìri,","or unjustly killed just as the martyrs were,","o uccisi ingiustamente come i martiri,"
"O discacciato,   com’e’ fu ’l buon siri",or persecuted just like the good lord,o perseguitato proprio come il buon signore
"Guillermo, che di Santo Amor fu stratto,",William who was a native of St. Amour.,Guglielmo che era un nativo di St. Amour.
"Così ’l conciò la mogle di Baratto,","In this way the wife of Deceit fixed his hash,","In questo modo la moglie di Deceit ha riparato il suo hashish,"
Però ch’e’ mi ronpea   tutti mie’ giri;,because he was ruining all my deceptive plans.,Perche' stava rovinando tutti i miei piani ingannevoli.
"Chéd e’ sì fu per lei sì discacciato,","For William was so persecuted by her,","Poiché Guglielmo fu così perseguitato da lei,"
"E sol per verità, ch’e’ sostenea,","and only for the truth that he maintained,","e solo per la verità che ha sostenuto,"
Ched e’ fu del reame isbandegiato.,that he was banished from the realm.,che è stato bandito dal regno.
"De mia vita fe’ libro, e sì legiea","Of my life he wrote a book, and he taught","Della mia vita scrisse un libro, e insegnò"
Ch’e’ non volea   ch’i’ gisse mendicato:,that he did not want me to go begging alms:,che non voleva che andassi a supplicare l'elemosina:
Verso mia madre troppo misprendea!,towards my mother he committed a grievous error!”,verso mia madre ha commesso un grave errore!
