Original,Translate_EN,Translate_IT_1
Alor Bellacoglienza più non tarda:,Thus Fair Welcome does not delay.,Così il benvenuto giusto non ritarda.
"In mantenente lo spechi’ebe in mano,","As soon as she took the mirror in hand,","Appena ha preso lo specchio in mano,"
Si vide il viso suo umile   e piano;,she saw her humble and honest face:,vide il suo volto umile e onesto:
Per molte volte nello spechio guarda.,she looks at herself many times in the mirror.,Si guarda molte volte allo specchio.
"La Vechia, che•ll’avea presa en sua guarda,","The Old Woman, who had taken her under her wing,","La Vecchia Donna, che l'aveva presa sotto la sua ala,"
"Le giura e dicie: «Per lo Dio sovrano,","swears to her saying: “In the name of God the sovereign,","giura a lei dicendo: ""In nome di Dio il sovrano,"
"Ch’unquanche Isotta, l’amica Tristano,","never did Isolt, Tristan’s friend,","Isolato, amico di Tristan, non ha mai..."
"Come tu•ssè, figluola mia gientile.","as you are, my noble daughter.","così com'è, mia nobile figlia."
"Or convien che•ttu abie il mi’ consiglio,","It’s best that you have my advice,","E' meglio che tu abbia il mio consiglio,"
Che cader non potessi in luogo vile.,so that you might not fall into a bad situation.,in modo da non cadere in una brutta situazione.
"Se non sai guar’, i’ non mi maraviglio,","I’m not surprised if you don’t know a lot,","Non sono sorpreso se non sai molto,"
"Ché giovan uon non puot’esser sottile,","for a young person cannot be wise,","perché un giovane non può essere saggio,"
"Chéd i’, quanto più vivo, più asottiglio.",because the longer I live the wiser I become.”,perché più a lungo vivo il più saggio io divento.
,,
