Original,Translate_EN,Translate_IT_1
"Molti buon’ santi   à l’uon visti morire,","“Many good male Saints have been seen to die,","Molti buoni santi maschi sono stati visti morire,"
"E molte buone sante gloriose,",as well as many good and glorious female Saints,così come molti santi femminili buoni e gloriosi
"Che fuor divote e ben religiose,","who were devout and very religious,","che erano devoti e molto religiosi,"
"E robe di color’ volean vestire,",and wanted to wear colored clothing:,e voleva indossare abiti colorati:
"Né non lasciar per ciò già di santire,",they did not for this reason stop becoming Saints.,per questo non hanno smesso di diventare Santi.
"Ma elle non fur anche dispittose,",But they were never spiteful;,Ma non furono mai dispettosi;
"Anz’eran caritevoli, e pietose,","rather, they were charitable and devout","piuttosto, erano caritatevoli e devoti"
E sofferian per Dio d’esser martire.,and suffered to become martyrs for God.,e ha sofferto per diventare martiri per Dio.
«E s’i’ volesse i’ n’andre’ assa’ nomando.,"And if I wished, I would proceed to name many of them;","E se volessi, procederei a nominarne molti;"
"Ma apressoché tutte le sante e santi,",but almost all the female and male Saints,ma quasi tutti i santi femminili e maschili
"Che•ll’uon va per lo mondo ogi adorando,",that are revered in the world today,che oggi sono venerati nel mondo
"Tener famiglie, e sì fecier anfanti.",had families and produced children;,ha avuto famiglie e ha prodotto figli;
"Vergine, e caste, e donne gir portando",virgins and chaste women went about wearing,vergini e donne caste andavano in giro indossando
"Cotte, e sorcotti di colori, e manti.",colorful dresses and outer-garments and cloaks.”,abiti colorati e abbigliamento esterno e foderi.
