Original,Translate_EN,Translate_IT_1
"Buon acontar fa huon, c’abia danari,","“It’s good to know a man who has money,","E' bello conoscere un uomo che ha dei soldi,"
Ma’ ched e’ sia chi ben pelar li saccia:,provided that someone knows how to skin him;,purché qualcuno sappia come scuoiarlo;
"Con quel cotal fa buon intrar in caccia,",and it’s a good idea to go hunting with this ‘someone’,e si tratta di una buona idea per andare a caccia con questo
Ma’ ched e’ no gli tenga troppo cari.,unless he values money too highly.,A meno che non apprezzi troppo i soldi.
"L’acontanza a color, che•sson avari,",It appears that associating with avaricious people,Sembra che l'associazione con persone avarious
Sì par c’a Dio e al mondo dispiaccia:,is displeasing both to God and to the world:,"dispiace a Dio e al mondo,"
"Non dar mangiar a que’ cotali in taccia,","don’t feed such people at a set price,","don... nutrimento di tali persone ad un prezzo stabilito,"
Ché ’ pagamenti lor son troppo amari.,for payments make them very sad.,per i pagamenti li rendono molto tristi.
Ma fa' pur ch’e’ ti paghi inanzi mano:,But make sure they pay you in advance;,Ma assicurati che ti paghino in anticipo;
"Ché, quand’e’ sarà ben volonteroso,","for when he’ll be overwhelmed with desire for you,","perché quando l'Eterno sarà sopraffatto dal tuo desiderio,"
"Per la fé, ched i’ do a san Giermano,","by the faith I put in Saint Germain,","per la fede che ho messo in san Germano,"
E’ non potrà tener nulla nascoso.,"he’ll not be able to keep anything hidden,","l'inferno non sia in grado di tenere nascosto nulla,"
"Già tanto non fia sagio, né ciertano,","no matter how wise and astute he may be,","non importa quanto sia saggio e astuto,"
Sed e’ sarà di quel volonteroso.,so desirous will he be for sex.”,così desideroso sarà per il sesso.
