Original,Translate_EN,Translate_IT_1
"Amor sì disse: «Per cotal convento,","Thus Love said: “False Seeming,",Così l'amore disse:
"Falso-Senbiante, in mia corte enterai,",on this condition you will enter my court:,a questa condizione entrerete nella mia corte:
"Che tutti i nostri amici avanzerai,",you will assist all of our allies,assisterai tutti i nostri alleati
E metterai   i nemici in bassamento.,and put our enemies down.,e mettere giù i nostri nemici.
"E sì•tti do, per buon cominciamento,","And to begin this business, I confer on you","E per iniziare questo affare, ti confesso..."
"Che Re-de’-barattier   tu sì sarai,",the title of king of deceivers;,il titolo di re dei seduttori;
"Ché pez’à che ’n capitolo i’ ’l fermai,","I decided this some time ago in council,","L'ho deciso tempo fa in consiglio,"
Ch’i’ conosciea ben tu’ tradimento.,for I was well acquainted with your treacherous ways.,perché conoscevo bene i tuoi modi insidiosi.
"Or sì vo’ che•cci dichi in audienza,",Now I want you to tell us in this hearing,Ora voglio che tu ce lo dica in questa udienza.
"Pe•ritrovarti, se n’avrén mestiere,",where you dwell,dove abiti
"I•luogo, dove tu•ffai  residenza,","in case we have to find you,","nel caso dovessimo trovarti,"
"Né di che servi, né di che mestiere.",and tell us what you do and how you do it.,e dicci cosa fai e come lo fai.
"Fa che n’agiàn veracie conoscienza,","Make sure we understand these things well,","Assicurati che capiamo bene queste cose,"
"Ma no ’l farai,   sì•ssè mal barattiere».","and if you don’t, you’re truly an evil cheat.”","e se si dona, si sono veramente un male truffare."
