Original,Translate_EN,Translate_IT_1
"«S’uomini richi vi fano damagio,","“If rich men do you harm,","Se gli uomini ricchi ti fanno del male,"
Vo’ avete ben chi ne farà vendetta:,you certainly have those who will avenge you.,Hai certamente coloro che ti vendicheranno.
"Non fate forza, s’ella non s’afretta,","Don’t worry if this does not come rapidly,","Non preoccupatevi se questo non avviene rapidamente,"
Ché no’ la pagherén ben de l’oltragio.,because we’ll pay her back for her offence.,Perche' la ripaghera' per il suo reato.
"Le donne, e le pulzelle al chiar visagio",Women and young ladies with radiant faces,Donne e giovani donne con facce raggianti
"Gli metteranno ancor a tal distretta,","will put the wealthy in such distress,","metteranno i ricchi in tale afflizione,"
"Ma’ che ciascuna largo si prometta,","that even the most savvy of them will be destroyed,","che anche il più sapiente di loro sarà distrutto,"
"Che strutto ne sarà que’, ch’è ’l più sagio.",provided that each woman exacts extravagant promises for herself.,a condizione che ogni donna precisi stravaganti promesse per se stessa.
Ma Falsenbiante trametter non s’osa,But False Seeming and his friend,Ma False Seeming e il suo amico
"Di questi fatti, né sua conpagnia,","will not dare to take part in these matters,","non oserà partecipare a tali questioni,"
Ché gran mal gli volete: ciò ci posa.,because you despise them: this displeases us.,perché li disprezzate: questo ci dispiace.
"Sì vi priega tutta la Baronia,","Therefore, the assembled barony asks","Pertanto, la baronessa riunita chiede"
Che ricieviate: e’ manderà la cosa».,"you to welcome them, and the situation will be put right.”","si per accoglierli, e la situazione sarà messa a destra."
"«Da po’ che vo’ volete, e’ così sia».","“Since you wish it, so it will be done.”","Dal momento che lo desiderate, in modo da sarà fatto."
