Original,Translate_EN,Translate_IT_1
"Lo Schifo disse: «Giente messagiere,","Resistance replied: “Noble messengers,","La resistenza rispose: ""Messaggeri nobili,"
Egli è ben dritto ch’a vostra domanda,it is proper that I accede to your request,È giusto che io acceda alla sua richiesta.
"I’ faccia grazia, e ragion lo comanda,","and reason orders it,","e la ragione lo ordina,"
"Ché voi non siete orgolliose né fiere,","for you are neither vain nor proud,","perché non siete né vani né orgogliosi,"
Ma siete molto nobili parliere.,but you are very noble orators.,Ma voi siete degli oratori molto nobili.
"Vengha il valetto, e vada, a sua comanda,","The young man may come and go at will,","Il giovane può venire e andare a volontà,"
"Ma non ched egli al Fior   sua mano ispanda,","but on condition that he not try to touch the Flower,","ma a condizione che non cerchi di toccare il Fiore,"
"Ch’a•cciò no•gli varrian vostre preghiere,",because your prayers will not help him in that at all.,perché le tue preghiere non lo aiuteranno affatto in questo.
"Perciò che•lla figluola Cortesia,","For this the daughter of Lady Courtesy,","Per questo la figlia di Lady Courtesy,"
"Bellacoglienza, ch’è dama del Fiore,","Fair Welcome, who is in charge of the Flower,","Fair Welcome, che è responsabile del Fiore,"
Sì ’l mi porebe a gran ricredentia.,would think my manners rude.,Pensavo che le mie buone maniere fossero maleducate.
Ma fate che•lla Dama al Die d’Amore,But let the mother of the God of Love,Ma la madre del Dio dell'Amore
Faccia a Bellacoglienza pregheria,"make a plea to Fair Welcome on his behalf,","fare un appello a Fair Welcome per suo conto,"
"Di lui, e che•lle schaldi un poco il core».",so that her heart may be warmed a little.”,in modo che il suo cuore può essere riscaldato un po '.
