Original,Translate_IT
"Taciti, soli, sanza compagnia","Siamo andati soli, in silenzio, senza accompagnatori."
"n'andavam l'un dinanzi e l'altro dopo,","Io dietro di me, il Maestro davanti a me,"
come frati minor vanno per via.,Come cammina un francescano sulla strada.
Vòlt'era in su la favola d'Isopo,Il diavolo di struzzo selvaggio doveva essere per me
"lo mio pensier per la presente rissa,",Ricordare la favola di Esope...
dov'el parlò de la rana e del topo;,Quello in cui parla della rana e del topo.
ché più non si pareggia 'mo' e 'issa',Perché chi comincia e conclude le due cose
"che l'un con l'altro fa, se ben s'accoppia","Paragonato con un pensiero maturo,"
principio e fine con la mente fissa.,Non poteva sembrare lo stesso ora e l'ultima volta.
"E come l'un pensier de l'altro scoppia,",E come da uno dei pensieri
"così nacque di quello un altro poi,","Il secondo è fuori di testa, e io devo continuare a pensare:"
che la prima paura mi fé doppia.,E due volte mi spaventarono e mi spaventarono.
Io pensava così: 'Questi per noi,Pensavo che fossero nei loro armadi.
sono scherniti con danno e con beffa,"Distrutta, danneggiata e tormentata da noi"
"sì fatta, ch'assai credo che lor nòi.",E devono arrabbiarsi e offendersi.
"Se l'ira sovra 'l mal voler s'aggueffa,","Quando questo suscita la malvagità e l'ira,"
ei ne verranno dietro più crudeli,"Così ci innaffieranno in volo,"
che 'l cane a quella lievre ch'elli acceffa'.,Come un cane selvaggio si stende verso il porto.
Già mi sentia tutti arricciar li peli,"Già mi sento i capelli stracciati dai grigi,"
"de la paura e stava in dietro intento,","E all'indietro, ascoltando, gridai: ""Maestro, fuggi!"
"quand'io dissi: “Maestro, se non celi",Nascondici in queste rocce.
"te e me tostamente, i' ho pavento",I Grimmetats stanno arrivando.
d'i Malebranche. Noi li avem già dietro;,Stanno arrivando con un intero esercito!
"io li 'magino sì, che già li sento”.","Come la penso io, la sento!"""
"E quei: “S'i' fossi di piombato vetro,","E mi disse: ""Se fossi uno specchio,"
l'imagine di fuor tua non trarrei,Non riesco a capire il tuo quadro esterno.
"più tosto a me, che quella dentro 'mpetro.",Quando spiegherò la tua interiore facilmente.
"Pur mo venieno i tuo' pensier tra ' miei,",Ma ora anche tu realizzerai il mio Innres
"con simile atto e con simile faccia,",E vieni da me con questo...
sì che d'intrambi un sol consiglio fei.,Quello che era stato deciso in me per entrambi.
"S'elli è che sì la destra costa giaccia,","E il pendio è situato a destra solo così,"
"che noi possiam ne l'altra bolgia scendere,","Che si può scendere alla prossima gola,"
noi fuggirem l'imaginata caccia”.,"Pioveranno le ali invano."""
