Original,Translate_EN,Translate_IT_1
"Sed e’ vi piacie, i’ sì m’andrò posando,","“If you like, I will refrain","Se ti piace, mi asterrò"
Sanza di questi fatti più parlare.,from saying any more about these matters;,di dire di più su queste questioni;
"Ma tuttor   sì vi vo’ convenenzare,",but still I want to promise you,Ma voglio comunque prometterti...
"Che tutti i vostri amici andrò avanzando,","that I will show favor to all your friends,","che mostrerò grazia a tutti i tuoi amici,"
Ma’ che comeco ciascun vada usando:,on condition that they be friends with me.,a condizione che siano amici di me.
"Sì son e’ morti, s’e’ no ’l voglion fare.",If they don’t want to do it they’ll die;,"Se non vogliono farlo, muoiono."
"E la mia amica convien honorare,","they must honor my friend,","devono onorare il mio amico,"
O ’l fatto lor andrà pur pegiorando.,or their situation will get much worse.,o la loro situazione peggiorerà molto.
"Egli è ben vero ched i’ son traditore,","It’s quite true that I’m a traitor,","E' del tutto vero che io sono un traditore,"
"E per ladron m’à Dio, pez’à, giugiato,","and for some time God has judged me to be a thief,","e per qualche tempo Dio mi ha giudicato un ladro,"
Perch’i’ ò messo il mondo in tanto erore.,because I have put the world in so much error.,perché ho messo il mondo in così tanto errore.
"Per molte volte mi son pergiurato,","On many occasions I have sworn falsely,","In molte occasioni ho giurato falsamente,"
"Ma i’ fo il fatto mio sanza romore,","but I do my business without fanfare,","ma faccio i miei affari senza fanfara,"
Sì che nessun se n’è ancora adato.,so that no one has ever noticed it.”,in modo che nessuno l'abbia mai notato.
