Original,Translate_EN,Translate_IT_1
A Mala-Bocca vo’ primieramente,“First of all I don’t want you to give,Prima di tutto non voglio che tu dia
"Che•ttu sì no•gli mostri mal senbiante,","Bad Mouth any angry looks,","Mouth cattivo qualsiasi sguardo arrabbiato,"
"Ma se gli passe o dimore davante,","but when you pass by or stop in front of him,","ma quando passi o ti fermi davanti a lui,"
Umile gli ti mostra ed ubidente:,show yourself to be humble and obedient.,mostrati umile e obbediente.
"Di te e del tuo gli sie largo offerente,","Be generous and offer him your person and possessions,","Siate generosi e offritegli la vostra persona e i vostri beni,"
E’ faccia di te come di su’ fante.,and let him treat you like his servant.,e lascia che ti tratti come il suo servo.
"Così vo’ che lo ’nghanni quel truante,","In this way I want you to deceive that rascal,","In questo modo voglio che tu inganni quel mascalzone,"
Che si diletta in dir mal d’ognie giente.,who takes pleasure in bad-mouthing everyone.,che si diverte a parlare male di tutti.
Chol braccio al collo sì die hon menare,With your arm around his shoulder and with pleasant words,Con il braccio intorno alla spalla e con parole piacevoli
"Il su’ nemico, insin che sia ’l giubetto,","you must lead your enemy to the gallows,","devi condurre il tuo nemico alla forca,"
"Co•le lusinghe, e po’ farlo inpiccare.",where then you’ll have him hanged.,dove poi lo farai impiccare.
"Or metti ben il cuor a•cciò, c’ò detto,",Now pay attention to what I’ve said:,Ora fate attenzione a quello che ho detto:
"Di costu’ ti convien così ovrare,",with this one you must behave like this,con questo devi comportarti così
Insin ch’e’ sia condotto al passo stretto.,until he has been led to that narrow pass.”,fino a quando non sia stato condotto a quel passaggio stretto.
