Original,Translate_EN,Translate_IT_1
"E se ’l Diavolo l’avesse fatto sagio,","“And if, by chance, the devil had made him wise,","E se, per caso, il diavolo l'avesse reso saggio,"
E che•lla donna vegia ch’à dottanza,and if the lady sees that he is afraid,e se la signora vede che ha paura
"Di non volerle far questa prestanza,","to make her this loan,","per farle questo prestito,"
Imantenente sì gli mandi un gaggio:,immediately let her send him a pledge:,Lasciate che gli mandi subito un pegno:
"La roba, ch’ella avrà più d’avantaggio,",the best dress that she has.,il miglior vestito che abbia.
E dica che•lla tenga in rimenbranza,She should tell him to keep it as a pledge,Dovrebbe dirgli di tenerla come pegno.
"De’ suo’ danari, e non faccia mostranza","for his money, and she should not let it be known","per i suoi soldi, e lei non dovrebbe lasciare che sia noto"
"Ched e’ le paia noia, né oltragio.",that this act seems to bother or offend her.,che questo atto sembra disturbarla o offenderla.
"E poi atenderà alcuna festa,","And then she’ll wait for some holiday,","E poi lei aspettera' qualche vacanza,"
"Pasqua, o Kalendi Magio,   o Pentecosta,","Easter or the calends of May or Pentecost,","Pasqua o i calandi di maggio o di Pentecoste,"
"E sia intorno a•llui, sanza far resta,","and let her be around him all the time,","e lasciarla stare intorno a lui tutto il tempo,"
Diciendo che giamai a la sua costa,saying that she will never sleep,dicendo che non dormirà mai
"Non dormirà, se que’ no glele presta","at his side, if he does not lend her the money.","al suo fianco, se non le presta i soldi."
La roba: in questa guisa sì glel’osta.,"In this way, she’ll surely take the dress away from him.”","In questo modo, lei sicuramente prendere il vestito da lui."
