Original,Translate_EN,Translate_IT_1
"I’ sì mi sto con que’ religiosi,",“So I pass my time with those religious,Così passo il mio tempo con quei religiosi
"Religiosi   no, se non in vista,","- well, religious only in appearance –","- bene, religioso solo in apparenza"
"Che•ffan la ciera lor pensosa, e trista,","those who make their face seem sad and anguished,","coloro che fanno sembrare tristi e angosciosi il loro volto,"
"Per parer a le gienti più pietosi,",in order to appear more pious to the people.,per apparire più pio al popolo.
"E’ sì si mostran molto sofrettosi,","And they show themselves to be in need,","E si mostrano in difficoltà,"
"E ’n tapinando ciaschedun aquista,",and through begging each one reaps and profits:,e implorando ciascuno raccoglie e guadagna:
"Sì che perciò mi piacie lor amista,","therefore, I like their friendship,","mi piace la loro amicizia,"
C’a barattar son tutti curiosi.,for they are all very eager to deceive.,perché sono tutti molto desiderosi di ingannare.
Po’ vanno procacciando l’acontanze,Then they go seeking friendship,Poi vanno in cerca di amicizia
"Di riche gienti, e vanole seguendo.","with wealthy people and follow after them,","con gente benestante e seguita da loro,"
E’ sì voglion mangiar le gran pietanze,because they want to eat great delicacies,perché vogliono mangiare grandi prelibatezze
E preziosi   vin vanno bevendo:,and drink high quality wines.,e bere vini di alta qualità.
E queste son le lor grandi astinanze.,This is the way they practice great abstinence!,Questo è il modo in cui praticano la grande astinenza!
Po’ van la povertà altrui abellendo.,And then they go about praising poverty to others.”,E poi vanno a lodare la povertà agli altri.
