Original,Translate_IT
Quanto tra l'ultimar de l'ora terza,Tanto quanto le ore in cui la sfera
e 'l principio del dì par de la spera,che gioca sempre come appare un bambino
"che sempre a guisa di fanciullo scherza,","dall'alba alla fine della terza ora,"
tanto pareva già inver' la sera,tante erano le ore di luce ancora rimaste
essere al sol del suo corso rimaso;,prima che il corso del giorno avesse raggiunto il tramonto;
"vespero là, e qui mezza notte era.","Vespri era lì; e dove siamo, a mezzanotte."
"E i raggi ne ferien per mezzo 'l naso,","Quando la luce del sole colpisce direttamente i nostri volti,"
"perché per noi girato era sì 'l monte,",perché avevamo cerchiato così tanto della montagna
"che già dritti andavamo inver' l'occaso,","che ora ci dirigemmo dritti verso ovest,"
quand'io senti' a me gravar la fronte,allora potevo sentire la mia visione superata
"a lo splendore assai più che di prima,","per radiosità maggiore di quella che avevo percepito prima,"
e stupor m'eran le cose non conte;,e le cose incomprensibili mi hanno lasciato stupito;
ond'io levai le mani inver' la cima,"che mi servano come ombra,"
"de le mie ciglia, e fecimi 'l solecchio,","Ho alzato le mani sopra la fronte,"
che del soverchio visibile lima.,per limitare un po' di quell'eccesso di splendore.
Come quando da l'acqua o da lo specchio,"Come quando un raggio di luce, dall'acqua o"
"salta lo raggio a l'opposita parte,","uno specchio, balza nella direzione opposta"
salendo sù per lo modo parecchio,e sale ad un angolo uguale a
"a quel che scende, e tanto si diparte","il suo angolo di discesa, e ad ogni lato"
"dal cader de la pietra in igual tratta,","la distanza dalla verticale è uguale,"
sì come mostra esperïenza e arte;,come hanno dimostrato la scienza e l'esperimento;
così mi parve da luce rifratta,così mi è sembrato che ero stato
quivi dinanzi a me esser percosso;,"colpito lì dalla luce riflessa, di fronte a me,"
per che a fuggir la mia vista fu ratta.,in cui i miei occhi si volsero rapidamente altrove.
"“Che è quel, dolce padre, a che non posso","""Padre mio, che cosa è ciò contro cui io"
"schermar lo viso tanto che mi vaglia”,","ho provato invano,"" ho detto, ""per schermare i miei occhi?"
"diss'io, “e pare inver' noi esser mosso?”.","Sembra muoversi verso di noi."" E lui rispose:"
“Non ti maravigliar s'ancor t'abbaglia,"""Non chiedetevi se siete ancora abbagliati da"
"la famiglia del cielo”, a me rispuose:",la famiglia dei cieli: un messaggero
“messo è che viene ad invitar ch'om saglia.,"è venuto, e ci invita ad ascendere."
Tosto sarà ch'a veder queste cose,"Presto, in vista di tali cose, ci sarà"
"non ti fia grave, ma fieti diletto","Nessuna difficoltà per te, ma delizia..."
quanto natura a sentir ti dispuose”.,"tanto quanto la natura ti ha fatto sentire."""
"Poi giunti fummo a l'angel benedetto,",Non appena avessimo raggiunto l'angelo benedetto
con lieta voce disse: “Intrate quinci,"che con voce gioiosa ci disse: ""Entra qui;"
ad un scaleo vie men che li altri eretto”.,"questi sono meno ripidi degli altri gradini."""
"Noi montavam, già partiti di linci,","Siamo saliti, già oltre quel punto; dietro di noi,"
e 'Beati misericordes!' fue,"abbiamo sentito ""Beati misericordes"" cantare"
"cantato retro, e 'Godi tu che vinci!'.","e poi ""Rallegrati, tu che hai vinto."""
