Original,Translate_IT_1
"A vedere quello che per lo terzo cielo s'intende, prima si vuole vedere che per questo solo vocabulo 'cielo' io voglio dire; e poi si vedrà come e perché questo terzo cielo ci fu mestiere.","Per capire cosa significa il terzo cielo il lettore deve prima capire cosa intendo con la parola ""cielo"" stesso; poi capirà come e perché era necessario fare riferimento a questo terzo cielo."
"Dico che per cielo io intendo la scienza e per li cieli le scienze, e per tre similitudini che li cieli hanno colle scienze massimamente, e per l'ordine e numero in che paiono convenire, sì come trattando quello vocabulo, cioè 'terzo', si vedrà.","Con ""cielo"" intendo conoscenza, e con ""cielo"" le varie scienze, e lo faccio sia sulla base di tre principali somiglianze tra il cielo e le scienze, sia dell'ordine e del numero trovati in ogni gruppo che sono chiaramente simili, come sarà visto quando verrò a discutere l'altra parola ""terzo."""
"La prima similitudine si è la revoluzione dell'uno e dell'altro intorno a uno suo immobile. Ché ciascuno cielo mobile si volge intorno al suo centro, lo quale, quanto per lo suo movimento, non si muove; e così ciascuna scienza si muove intorno al suo subietto, lo quale essa non muove, però che nulla scienza dimostra lo propio subietto, ma suppone quello.","La prima somiglianza è che ogni membro di entrambi i gruppi ruota intorno a qualcosa di immobile in esso: ogni cielo in movimento ruota intorno al suo centro, che non è esso stesso influenzato da quel movimento; allo stesso modo ogni scienza gira intorno al suo soggetto senza influenzare il soggetto stesso, poiché ogni scienza prende come data l'esistenza del proprio soggetto e non cerca di dimostrarlo."
"La seconda similitudine si è lo illuminare dell'uno e dell'altro: ché ciascuno cielo illumina le cose visibili, [e] così ciascuna scienza illumina le intelligibili.","La seconda somiglianza è che entrambi i gruppi fanno luce, perché ogni cielo fa luce sulle cose che possono essere percepite dagli occhi, e allo stesso modo ogni scienza fa luce sulle cose che possono essere percepite dall'intelletto."
"E la terza similitudine si è lo inducere perfezione nelle disposte cose. Della quale induzione, quanto alla prima perfezione, cioè della generazione sustanziale, tutti li filosofi concordano che li cieli siano cagione, avegna che diversamente questo pongano: quali dalli motori, sì come Plato, Avicenna e Algazel; quali da esse stelle, spezialmente l'anime umane, sì come Socrate, e anche Plato e Dionisio Academico; e quali da vertude celestiale che è nel calore naturale del seme, sì come Aristotile e li altri Peripatetici.","La terza somiglianza è che essi producono la perfezione nelle cose disposte a riceverla. Tutti i filosofi concordano sul fatto che i cieli sono le cause che determinano la prima perfezione, cioè la generazione di sostanze, anche se danno diversi racconti di come questo effetto è prodotto da loro. (Alcuni dicono che è causata dagli esseri che muovono il cielo; questa è l'opinione di Platone, Avicenna e Algazel. Altri dicono che è causata dalle stelle stesse, in particolare nel caso delle anime umane; questa è l'opinione di Socrate, e di Platone e Dionisio l'Academic. Altri ancora dicono che è causata da un potere celeste operante nel calore naturale del seme; questa è l'opinione di Aristotele e degli altri Peripatitics.)"
"Così della induzione della perfezione seconda le scienze sono cagione in noi; per l'abito delle quali potemo la veritade speculare, che è ultima perfezione nostra, sì come dice lo Filosofo nel sesto dell'Etica, quando dice che 'l vero è lo bene dello 'ntelletto. Per queste, con altre similitudini molte, si può la scienza 'cielo' chiamare.","Allo stesso modo, le varie scienze sono ciò che porta la seconda perfezione in noi: attraverso la loro padronanza possiamo contemplare la verità, essendo questa la nostra più alta perfezione, come indica Aristotele nell'Etica, quando dice che la verità è il bene che compie l'intelletto. A causa di queste somiglianze, e molti altri, il termine ""cielo"" può essere usato per significare la conoscenza."
"Ora perché 'terzo' cielo si dica è da vedere. A che è mestiere fare considerazione sovra una comparazione che è nell'ordine delli cieli a quello delle scienze. Sì come adunque di sopra è narrato, li sette cieli primi a noi sono quelli delli pianeti; poi sono due cieli sopra questi, mobili, e uno sopra tutti, quieto.","E' tempo di capire perché era opportuno parlare del terzo cielo. Afferrare questo è necessario considerare una corrispondenza ottenuta tra l'ordine dei cieli e quello delle scienze. Come è stato indicato, allora, i sette cieli più vicini a noi sono quelli che contengono pianeti; al di sopra di questi vengono due cieli che sono anche in movimento, e soprattutto questi che sono in riposo."
"Alli sette primi rispondono le sette scienze del Trivio e del Quadruvio, cioè Gramatica, Dialetica, Rettorica, Arismetrica, Musica, Geometria e Astrologia. All'ottava spera, cioè alla stellata, risponde la scienza naturale, che Fisica si chiama, e la prima scienza, che si chiama Metafisica; alla nona spera risponde la Scienza morale; ed al cielo quieto risponde la scienza divina, che è Teologia appellata. E [la] ragione per che ciò sia, brievemente è da vedere.","Ai primi sette cieli corrispondono le sette scienze che compongono il Trivio e il Quadrivio: Grammatica, Dialettica, Retorica, Aritmetica, Musica, Geometria e Astronomia. All'ottava sfera (la Sfera delle Stelle) corrisponde la scienza naturale, chiamata Fisica, e la prima scienza, chiamata Metafisica; alla nona sfera corrisponde la scienza morale: e al cielo a riposo corrisponde la scienza divina, chiamata Teologia. I motivi su cui queste affermazioni sono fatte devono ora brevemente essere dati."
"Dico che 'l cielo della Luna colla Gramatica si somiglia, perché ad esso si può comparare [per due propietadi]. Ché se la Luna si guarda bene, due cose si veggiono in essa propie, che non si veggiono nell'altre stelle. L'una si è l'ombra che è in essa, la quale non è altro che raritade del suo corpo, alla quale non possono terminare li raggi del sole e ripercuotersi così come nell'altre parti; l'altra si è la variazione della sua luminositade, ché ora luce da uno lato e ora luce da un altro, secondo che lo sole la vede.","Dichiaro che il cielo della Luna è come la Grammatica, perché ha due proprietà sul cui conto può essere paragonato a quella scienza. Chiunque osservi attentamente la Luna nota che vi sono due caratteristiche caratteristiche di essa, che non appaiono in nessuna delle altre stelle: la prima è la presenza in essa di ombra, che non è altro che la comparsa di bassa densità nel corpo di questa stella, sulla quale i raggi del sole non possono riposare e essere riflessi, come sono dalle sue altre parti; la seconda è la variazione nella sua luminosità, perché brilla su diversi lati in tempi diversi, a seconda di come il sole lo sta affrontando."
"E queste due propietadi hae la Gramatica: ché per la sua infinitade li raggi della ragione in essa non si terminano, in parte spezialmente delli vocabuli; e luce or di qua or di là, in tanto [in] quanto certi vocabuli, certe declinazioni, certe construzioni sono in uso che già non furono, e molte già furono che ancor saranno: sì come dice Orazio nel principio della Poetria, quando dice: «Molti vocabuli rinasceranno che già caddero».","La grammatica ha entrambe queste proprietà, perché, a causa della qualità dell'infinito che possiede, i raggi della ragione non possono venire a riposare su di esso, in particolare nel regno del vocabolario; e risplende da luoghi diversi in tempi diversi, in quanto alcune parole, alcune declinazioni e certe costruzioni sono attualmente in uso che in precedenza non erano, e molti erano in precedenza in uso che sarà ancora così, come Orazio osserva all'inizio della Poetica, quando dice: ""Molte parole risorgeranno a nuova vita che una volta è caduta dal favore."""
