Original,Translate_EN,Translate_IT_1
"Se•ttu non puo’ parlar a quella, ch’ami,","“If you cannot speak to the one you love,","Se non puoi parlare con chi ami,"
"Sì•lle manda per lettera tu’ stato,","then let her know your state by letter,","poi falle sapere il tuo stato per lettera,"
Diciendo com’Amor t’à•ssì leghato,saying how Love has so bound you,dire come l'Amore ti ha così legato
"Ver’ lei,   che ma’ d’amarla non ti sfami.",to her that you will never get enough of loving her.,a lei che non avrai mai abbastanza di amarla.
"E le dirai: “Per Giesocristo, tra’mi","And you will say to her: ‘In the name of Jesus Christ, free me","E tu le dirai: Nel nome di Gesù Cristo, liberami"
"D’esti pensier, che m’ànno sì gravato”.",from these thoughts that have oppressed me!’,da questi pensieri che mi hanno oppresso!
Ma guarda che•llo scritto sia mandato,But make sure that the letter is delivered,Ma assicurati che la lettera sia consegnata.
"Per tal messagio, che non vi difami.",by a messenger who will not harm your reputation.,da un messaggero che non danneggerà la tua reputazione.
"Ma nella lettera non metter nome,",But don’t use any names in the letter;,Ma non usare alcun nome nella lettera;
Di lei   dirai “colui” di te “colei”:,for ‘her’ you will say ‘him’ and for ‘you’ ‘her’:,"per la ""Harlem"" si dirà ""Harlem"" e per la ""Harlem"" (Harlem) ""Harlem"" (Harlem) ""Harlem"" (Harlem) ""Harlem"" (Harlem) ""Harlem"" (Harlem) ""Harlem"" (Harlem) ""Ha detto:"
Così convien canbiar le pere a pome.,Thus are pears changed into apples.,Così le pere vengono trasformate in mele.
Messagio di gharzon’ ma’ non farei,"I would never use a boy as a messenger,","Non userei mai un ragazzo come messaggero,"
"Chéd e’ v’à gran periglio, ed odi come:","for there is great danger, and here’s why:","perché c'è un grande pericolo, ed ecco perché:"
"Nonn-à fermeza in lor, perciò son rei.","there’s no constancy in them; thus, they are no good.”","non c'è costanza in loro; quindi, non sono buoni."
