Original,Translate_EN,Translate_IT_1
"S’a scachi, o vero a•ttavole, giocassi",“If you should play chess or backgammon,Se si dovrebbe giocare a scacchi o backgammon
"Co•lla tua donna, fa c’agie il pigiore","with your lady, make sure that","con la tua signora, assicurati che"
"Del gioco, e dille ch’ell’è la migliore",you lose and tell her that she’s the best,perdi e le dici che lei è la migliore
"Dadi-gittante, che•ttu mai trovassi.",thrower of dice you’ve ever seen.,lancio di dadi che hai mai visto.
"S’a coderon giocaste, pignia anbassi,","And if you should play coderon, throw snake eyes,","E se dovesse giocare a coderon, lanci occhi di serpente,"
E fa ched ella sia là vincitore.,and make sure she’s the winner:,e si assicuri che il vincitore:
"Della tua perdita non far sentore,","don’t make a fuss over your loss,","Don't fare un trambusto per la vostra perdita,"
Ma che cortesemente la ti passi.,but handle it in a courtly manner.,ma gestiscila in modo cortese.
"Falla seder ad alti, e•ttu sie basso,","Have her sit in a high place, and you down low,","Falla sedere in un posto alto, e tu in basso,"
"E sì•ll’aporta carello, o cuscino:",and bring her a cushion and a pillow;,e portale un cuscino e un cuscino;
Di le’ servir non ti veghi mai lasso.,don’t ever let her see you weary of serving her.,Don't le ha mai permesso di vederti stanco di servirla.
"S’adosso le vedessi un buscolino,","If you should see a little speck on her,",Se dovessi vedere un puntino su di lei...
"Fa che glie•levi, e se vedessi sasso,","make sure that you brush it off, and if you should see a stone","assicuratevi di spazzolarlo via, e se si dovrebbe vedere una pietra"
"Là ’v’ella dé passar, netta ’l camino.","where she must walk, brush off the path.”","dove deve camminare, spazzola via il sentiero."
