Original,Translate_EN,Translate_IT_1
"E se•lla donna prende tu’ presente,","“And if the Lady takes your gift,","E se la Signora prende il tuo dono,"
Buon incomincio avra’ di far mercato.,you’ll have a good beginning for your dealings;,hai un buon inizio per i tuoi affari;
"Ma•sse d’un bascio l’avessi inarrato,","but if you had obtained the promise of a kiss from her,","ma se avessi ottenuto da lei la promessa di un bacio,"
Saresti poi ciertan del rimanente.,you would then be sure of having the rest.,allora saresti sicuro di avere il resto.
"E s’ella a prender non è conosciente,","And if she does not have the courtesy to accept,","E se non ha la cortesia di accettare,"
"Anzi t’avrà del tutto rifusato,","but indeed has totally refused you,","ma in verità vi ha totalmente rifiutati,"
"Senbianti fa che sie forte crucciato,","pretend that you are very upset,","fingere di essere molto sconvolto,"
E partiti da•llei san’ dir niente.,and leave her without saying anything.,e lasciarla senza dire nulla.
"E poi dimora un tenpo san’ parlarne,","And then don’t speak to her for a while,","E poi non parlarle per un po',"
"E non andar in luogo, ov’ella sia,","and don’t go to those places where she might be,","e non andare in quei posti dove potrebbe essere,"
E fa senbiante che nonn-ài che farne.,and pretend you don’t know how you’ll manage.,e fingere di non sapere come si può gestire.
Ell’enterrà in sì gran malinconia,She will then become so sad,Diventera' cosi' triste.
Che no•lle dimorrà sopr’osso carne:,that she will no longer have any meat on her bones;,che non avrà più carne sulle sue ossa;
Sì•ssi ripentirà di sua follia.,and thus she will repent of her folly.”,e così si pentirà della sua follia.
