Original,Translate_EN,Translate_IT_1
"Venùs, che d’assalire era presta,","Venus, who was ready to attack,","Venere, che era pronto ad attaccare,"
"Sì comanda a ciascun ched e’ s’arenda,",orders everyone either to surrender,ordina a tutti di arrendersi
"O che la mercié ciascheduno atenda,","or to wait for their reward,","o di aspettare la loro ricompensa,"
"Ch’ell’à la guarda lor tratutta presta,",which she has good and ready for them.,che ha buono e pronto per loro.
"E sì lor à giurato, per sua testa,",And so she swore to them on her own head,E così ha giurato loro sulla sua testa
"Ched e’ non sia nessun, che si difenda,",that no one will be able to defend himself,che nessuno sarà in grado di difendersi
Ch’ella de la persona no•gli afenda:,from the bodily wounds that she’ll inflict;,dalle ferite corporee che infligge;
E così ciaschedun sì amonesta.,"and thus, she gives each and every one fair warning.","e così, lei dà ogni giusto avvertimento."
"Vergogna sì respuose: «I’   non vi dotto,",Modesty answered: “I’m not afraid of you.,"Modestà rispose: ""Non aver paura di te."""
"Se nel castel non fosse se non io,","Even if I were the only one in the castle,","Anche se fossi l'unico nel castello,"
Non crederei che fosse per voi rotto.,I would not believe that it could be destroyed by you.,Non crederei che potrebbe essere distrutto da te.
"Quando vi piacie intrare a•lavorio,","Whenever you want, you can begin your efforts;","Ogni volta che vuoi, puoi iniziare i tuoi sforzi;"
"Già per minaccie no•mi ’ntrate sotto,","You’ll not take the castle with threats alone,","Non prenderete il castello solo con le minacce,"
"Né vo’, né que’, che d’Amor si fa Dio!».",not you nor that one who calls himself the God of Love.”,né tu né colui che si fa chiamare Dio dell'Amore.
