Original,Translate_EN,Translate_IT_1
Tutti quatro passarono il portale,All four of them went through the portal;,Tutti e quattro hanno attraversato il portale.
E si trovarono dentro a la porpresa.,"inside the walls they found the Old Woman,","all'interno delle mura hanno trovato la Vecchia Donna,"
"La Vechia, che del castro era sciesa,",who had come down from the tower.,che era sceso dalla torre.
"Quando gli vide, le ne parve male,","When she saw them, things looked bad to her,","Quando li ha visti, le cose le sono sembrate brutte,"
Ma tuttavia non ne fecie segniale.,but nevertheless she gave no sign of it.,ma non ne diede alcun segno.
"Largheza e Cortesia sì l’àno atesa,",Generosity and Lady Courtesy waited for her,Generosità e Lady Courtesy l'aspettavano
"E disserle: «Madonna, san’ difesa","and said: “My Lady, without any opposition","e disse: Mia Signora, senza alcuna opposizione"
Potete prender quanto il nostro vale:,"you can take all of our valuables,","puoi prendere tutti i nostri oggetti di valore,"
"Chéd egli è vostro, sanza farne parte.","for they are yours, completely,","perché sono tuoi, completamente,"
"E sì ve ne doniàn già la sagina,","and so we offer you this opportunity,","e così vi offriamo questa opportunità,"
E sopra tutto vi vogliàn far carte».,"and, most of all, we wish to draft the proper papers.”","e, soprattutto, desideriamo redigere i documenti appropriati."
"La Vechia, che sapea ben la dottrina,","The Old Woman who knew the theory well,","La Vecchia Donna che conosceva bene la teoria,"
"Ché molte volte avea studiato l’arte,","since she had practiced this art many times,","da quando aveva praticato questa arte molte volte,"
"Gline marzìa molto, e gline ’nchina.",gave them thanks and bows to them.,rese loro grazie e archi a loro.
