Original,Translate_EN,Translate_IT_1
"Quand’a quel lavorio messi saranno,","“When they’ll be engaged in that work,","Quando saranno impegnati in quel lavoro,"
"Ben sagia mente degie inoperare,",they should work together wisely;,dovrebbero lavorare insieme saggiamente;
"E l’un atender, e l’altro studiare,","one should slow down and the other quicken the pace,","uno dovrebbe rallentare e l'altro accelerare il ritmo,"
Secondo ch’egli alor si sentiranno;,according to what their senses tell them.,secondo quello che dicono i loro sensi.
Né sì non dé parer lor già affanno,Their desire to move and pant like bellows,Il loro desiderio di muoversi e di addormentarsi come soffietti
"Di voler ben a modo mantacare,","should hardly seem painful to them,","non dovrebbe sembrare doloroso a loro,"
C’amendue insieme degian afinare,for both of them together should refine,per entrambi insieme dovrebbe raffinare
Lor dilettanza;   e dimorasse un anno!,their pleasure; and would that it would last a year!,il loro piacere; e vorrei che durasse un anno!
"E se•lla donna non v’à dilettanza,","And if the lady does not have the supreme delight,","E se la signora non ha la gioia suprema,"
"Sì ’nfinga in tutte guise ch’e’ vi sia,","she should pretend in every possible way that she is about to,","Dovrebbe fingere in ogni modo possibile che stia per,"
Sì gline mostri molto gran senbian[za]:,and show in her appearance that this is so:,e mostrare nel suo aspetto che questo è così:
"Istringa ’l forte, e basci ’l tuttavia;",let her squeeze him tightly and kiss him constantly;,che lo stringa forte e lo baci di continuo;
"Quando l’uom avrà sua dilettanza,","when the man has had his pleasure,","quando l'uomo ha avuto il suo piacere,"
Sì paia ch’ella tramortita sia.,she should pretend to faint.”,dovrebbe far finta di svenire.
