Original,Translate_EN,Translate_IT_1
"Figluol mi’, tu farai un saramento,","“My son, you will make a pledge,","Figlio mio, farai un giuramento,"
"E io d’altra parte sì ’l faròe,",and I will make one too:,e ne farò uno anch'io:
Che castitate i’ ma’ non lascieròe,"namely, that I will never let chastity remain",e cioè che non lascerò mai che la castità rimanga
"In femina, che agia intendimento,","in any woman who has common sense,","in qualsiasi donna che abbia buon senso,"
"Né•ttu in uon, che•tti si’ a piacimento.",and you should do the same with any man you like.,E dovresti fare lo stesso con qualsiasi uomo ti piaccia.
Ed i’ te dico ben ch’i’ lavorròe,And I say to you that I will go to work,E io ti dico che andrò al lavoro.
"Col mi’ brandone, sì gli scalderòe,","with my torch, and I’ll heat them up","con la mia torcia, e li ho riscaldati"
Che ciaschedun verrà a comandamento».,so much that each one will obey our command.”,tanto che ognuno obbedirà al nostro comando.
"Per far le saramenta si aportaro,","In order to make these vows, they brought –","Per fare questi voti, hanno portato"
En luogo di relique [e di],in the place of relics and a missal –,al posto delle reliquie e di un messale
"Brandoni, e archi, e saette; sì giuraro",torches and bows and arrows; and so they swore,"torce, archi e frecce, e così giurarono"
"Di suso, e diser c’altrettanto vale.","on these objects, declaring them to be equally valid.","su questi oggetti, dichiarandoli ugualmente validi."
"Color de l’oste ancor vi s’acordaro,","All those in the army of Love were in agreement,","Tutti quelli dell'esercito dell'Amore erano d'accordo,"
Ché ciaschedun sapea le.,for each one of them knew the Decretals.,perché ognuno di loro conosceva i Decretali.
