Original,Translate_EN,Translate_IT_1
"«Madonna, i’ dubito tanto Gielosia","“My Lady, I fear Jealousy so much","Mia Signora, temo tanto la gelosia"
Ch’esto presente prender non osasse;,that I would not dare to take this gift;,che non oserei accettare questo dono;
Ché•sse domane ella mi domandasse:,for if tomorrow she would ask me:,perché se domani mi chiedesse:
"“Chi ’l ti donò?”, io come le diria?».",‘Who gave it to you?’ what would I tell her?”,Chi te l'ha dato? Cosa le direi?
"«Risposta buona i’ non ti cieleria,",“I would not conceal a good answer from you:,Non vorrei nascondere una buona risposta da voi:
"Che, s’ogni’altra risposta ti falasse,","if any other answer would fail you,","se un'altra risposta ti deludesse,"
"Sì dì almen ched i’ la ti donasse,","you can say at least that I gave it to you,","puoi almeno dire che te l'ho dato,"
Ed i’ le dirò ben ch’e’ così sia».,and I’ll tell her that this is the case.”,e I. dirle che questo è il caso.
"Allor la Vechia la ghirlanda prese,",Then the Old Woman took the garland,Poi la Vecchia Donna prese la ghirlanda
E ’n su le treccie bionde a la pulciella,"and put it on the young woman’s golden braids,","e mettila sulla giovane donna che ha trecce d'oro,"
"La puose, e quella   guar’ non si contese.",and she did not resist too much.,e lei non resisteva troppo.
"E po’ prese   lo spechio, e sì•ll’apella,","And then she took the mirror and calls her,","E poi ha preso lo specchio e la chiama,"
"E disse: «Vien’ qua, figluola cortese,","saying: “Come here, gentle daughter.","Dicendo: Vieni qui, figlia gentile."
Riguardati se•ttu sè punto bella!».,"Look at yourself, and see how beautiful you are!”","Guarda te stesso, e vedere come sei bella!"
