Original,Translate_EN,Translate_IT_1
"Gelosia andava a proveder le porte,",Jealousy went to check the doors,La gelosia è andata a controllare le porte
Sì trovava le guardie ben intese,and found the guards alert and ready,e ha trovato le guardie allerta e pronto
"Contra ciascuno star a le difese,","to ward off all attacks,","per evitare tutti gli attacchi,"
"E per donar, e per riciever morte.",as well as to give and to suffer death.,oltre a dare e a soffrire la morte.
E Malabocca si sforzava forte,Bad Mouth was trying very hard,Mouth cattiva stava provando molto duro
In ognie mi’ sacreto far palese:,to make me reveal all my secrets:,per farmi rivelare tutti i miei segreti:
"Que’ fu ’l nemico, che più mi v’afese,","he was the enemy who gave me the most trouble,","era il nemico che mi ha dato la maggior parte dei problemi,"
Ma sopra lui ricador poi le [sorte].,but it was he instead who received the most harm.,ma è stato lui invece che ha ricevuto il più male.
"Que’ non finava, né notte né giorno,",All day and night to the sound of his horn,Tutto il giorno e la notte al suono del suo corno
"A suon di corno   gridar: «Guarda, guarda!».","that one kept on shouting: “Look, look!”","quello ha continuato a gridare: Guarda, guarda!"
E giva per le mura tutto ’ntorno,"And he circled all around the walls,","E girava intorno alle pareti,"
"Diciendo: «Tal è putta, e tal si farda,","saying: “That one is a whore, and that one paints her face;","dicendo: ""Quella è una puttana e quella le dipinge la faccia;"
E la cotal à troppo chaldo il forno.,"that other one has a really hot oven,","che l'altro ha un forno molto caldo,"
E l’altra follemente altrui riguarda».,and that other one casts her rash and roving eye on men.”,e quell'altro getta la sua eruzione cutanea e occhi roving sugli uomini.
