Original,Translate_EN,Translate_IT_1
"Col capo inchino la donna salutai,","With bowed head I greeted the lady,","Con la testa inchiodata ho salutato la signora,"
E sì•lla cominciai   a domandare,and then began to ask her,e poi ha cominciato a chiederle
"Del camin, c’uomo apella Tropo-Dare.",about the path that’s called Extravagance.,circa il sentiero che si chiama Extravagance.
Quella rispose: «Già per me no ’l sai,She answered: “You’ll never know it from me;,Lei rispose: Tu non lo saprai mai da me;
"E, se ’l sapessi, già non vi ’nterrai,","and even if you were to know it, you will never enter there,","e anche se lo sapessi, non entreresti mai,"
Chéd i’ difendo a ciaschedun l’entrare,"because I forbid entrance to everyone,","perché proibisco l'ingresso a tutti,"
Sed e’ nonn-à che spender e che dare.,except to those who have the means to spend and spend some more.,eccetto per coloro che hanno i mezzi per spendere e spendere di più.
"Sì farai   gran saver, se•tte ne vai:","So if you’re smart, you’ll leave,","Quindi, se sei intelligente, te ne vai,"
"C’unquanche non volesti mi’ acontanza,","for you never desired my friendship,","perché non hai mai desiderato la mia amicizia,"
Né mi pregiasti mai  a la tua vita.,nor have you ever praised me in your life.,e non mi hai mai lodato nella tua vita.
"Ma or ne prenderò buona vengianza,",But now I’ll take my sweet revenge:,Ma ora mi prenderò la mia dolce vendetta:
"Ché, sie ciertano, se•ttu m’ài   schernita,","for rest assured that just as you scorned me,","perché siate certi che proprio come mi avete disprezzato,"
"I’ ti darò tormento e malenanza,","so I’ll give you such torment and unhappiness,","così I'll ti darà tale tormento e infelicità,"
Sì ch’e’ me’ ti varia avermi servita».,that it would be better for you to have served me.”,che sarebbe meglio per voi di avermi servito.
