Original,Translate_EN,Translate_IT_1
"Quando Ragion   fu assa’ dibattuta,",When Reason had ceased with her impassioned plea,Quando la ragione aveva cessato con il suo appello appassionato
"E ch’ella fecie capo al su’ sermone,","and brought her sermon to an end,","e portò al termine il suo sermone,"
"I’ sì•lle dissi: «Donna, tua lezione","I said to her: “Lady, you may be sure","Le dissi: ""Signora, puoi esserne certa."""
"Sie cierta ch’ella m’è poco valuta,","your lesson has had little value for me,","la tua lezione ha avuto poco valore per me,"
"Perciò ch’i’ no•ll’ò punto ritenuta,","since I have not believed any of it,","poiché non ho creduto a nulla di tutto ciò,"
Ché non mi piacie per nulla cagione.,and I do not like it at all.,E non mi piace affatto.
"Ma chui piaciesse   tal amonizione,","However, if anyone would like to have such warnings,","Tuttavia, se qualcuno desidera avere tali avvertimenti,"
"Sì gli sarebe ben per me renduta,",I would gladly pass them on to him.,Glieli passerei volentieri.
"Chéd i’ so la lezion   tratutta a mente,","For I know the whole lesson by heart,","Conosco tutta la lezione a memoria,"
"Per ripetall’a giente   chu’ piaciesse,","and I can repeat it to those people who would appreciate it,","e posso ripeterlo a quelle persone che lo apprezzerebbero,"
"Ma già per me nonn-è savia niente,",but for me it contains no wisdom at all.,ma per me non contiene alcuna saggezza.
"Ché fermo son, se morir ne dovesse,","I am determined, even if I should die from it,","Sono determinato, anche se dovessi morire per questo,"
"D’amar il Fior, e ’l me’ cor vi s’asente,","to love the Flower, and my heart is in complete agreement,","per amare il Fiore, e il mio cuore è pienamente d'accordo,"
"O ’n altro danno, ch’avenir potesse».",even if death or any other harm would result from it.”,anche se la morte o qualsiasi altro danno sarebbe risultato da esso.
