Original,Translate_EN,Translate_IT_1
"Quando fai ad alcuna tua richesta,","“When you make your amorous request to a woman,","Quando fate la vostra richiesta amorosa ad una donna,"
"O vechia ch’ella sia, o giovanzella,","whether she be old or young,","se è anziana o giovane,"
"O maritata,   o vedova, o pulzella,","married or widowed or virgin,","sposati o vedovi o vergini,"
Sì convien che•lla lingua tua sia presta,your tongue must be ready,la tua lingua deve essere pronta
"A•lle’ lodar suo’ ochi, e bocca, e testa,","to praise her eyes and mouth and head,","per lodare i suoi occhi, la sua bocca e la sua testa,"
E dir che sotto ’l ciel non l’à più bella:,and to say that there’s no more beautiful woman on earth:,e per dire che non ci è più bella donna sulla terra:
“Piaciesse a Dio ch’i’ v’avesse in gonella,‘Would to God that I could have you in your,Vorrei a Dio che potessi averti nel tuo
Là ov’io diviserei in mia podesta!”.,",",","
"Così le déi del tutto andar lodando,","wherever I would like, and in my power!’","dove mi piacerebbe, e in mio potere!"
Chéd e’ nonn-è nesuna sì atenpata,"You must praise them all this way,","Dovete lodarli fino a questo punto,"
"Ch’ella   non si diletti in ascoltando,",for no woman is so old that she,perché nessuna donna è così vecchia che lei
"E credes’esser più bella   che fata,","does not delight to hear these things,","non si compiace di sentire queste cose,"
E ’nmantenente pensa a gir pelando,and think herself to be more beautiful than a fairy.,e pensa di essere più bella di una fata.
"Colui, che prima tanto l’à lodata.",And immediately she begins to think of ways to skin,E subito comincia a pensare ai modi per scuoiare
