Original,Translate_EN,Translate_IT_1
Se quel gieloso la tien sì fermata,“If that jealous one keeps her so locked up,Se quella gelosa la tiene così rinchiusa
"Ch’ella non poss’andar là, ov’ella vuole,","that she cannot go wherever she wants,","che non può andare dove vuole,"
"Sì gli faccia intendente   che•ssi duole,",she should make him believe that she is suffering,dovrebbe fargli credere che sta soffrendo
"D’una sua gotta, che d’averl’è usata:","from a case of gout, which she’s had for some time;","da un caso di gotta, che lei ha avuto per qualche tempo;"
"Per ch’e’ convien ch’ella sia   stufata,","for this reason she must go to the baths,","per questo deve andare alle terme,"
"Ché colla stufa guerir se ne suole,",since this sickness is usually cured with hot baths.,poiché questa malattia è di solito curata con bagni caldi.
"Po’ bullirà ramerin, e viuole,",Then she will boil rosemary and violets,Poi farà bollire rosmarino e viole
"E camamilla, e salvia, e fie bagniata.","and camomile and sage, and bathe in this solution.","e camomilla e salvia, e fare il bagno in questa soluzione."
"E ’l gieloso dirà: “Va arditamente,","And the jealous husband will say: ‘Go freely,",E il marito geloso dirà:
E mena teco buona conpagnia”;,and take some good companions with you’;,e porta con te dei buoni compagni.
"Ma molto ne fia   nel su’ cuor dolente,","but in his heart he will be very sad,","ma nel suo cuore sarà molto triste,"
Ma vede ch’e’ desdir no ’l gliel poria.,but he sees that he can not prevent her from going.,ma vede che non può impedirle di andare.
"Quella mena conseco alcuna giente,","She takes some companions with her,","Porta con sé alcuni compagni,"
La qual sapranno ben sua malatia.,who will know her sickness well.”,che conoscerà bene la sua malattia.
