Original,Translate_EN,Translate_IT_1
"«Tu sì va’ predicando povertate,",“And thus you go about preaching poverty,E così vai a predicare la povertà
"E lodila». «Ver è, ad uopo altrui,","and you praise her.” “It’s true that, to benefit others,","e voi la lodate. è vero che, a beneficio degli altri,"
"Ch’i’ non son già su’ amico, né ma’ fui,","I am not now, nor ever was, her friend;",Non sono né ora né mai stato suo amico;
Anzi le porto crudel nimistate:,"in fact, I bear her fierce animosity,","anzi, io porto la sua feroce animosità,"
Ch’i’ amerei assa’ meglio l’amistate,for I would prefer the friendship,perché preferirei l'amicizia
"Del re di Francia, che quella a colui,",of the King of France to that of one,del Re di Francia a quello di uno
"Che va caendo per l’uscial altrui,",who goes begging from door to door,che va implorando da porta a porta
"E muor sovente di neciessitate,",and often dies of want.,e spesso muore di mancanza.
"E ben avess’egli anima di santo,",And no matter how saintly a soul a poor man,E non importa quanto santamente un'anima un povero uomo
"Il pover no•mi piaci’, e sua cont[e]za,","might have, I don’t like to associate with him,","potrebbe avere, non mi piace associare con lui,"
"E più, ch’i’ posso, i’ ’l metto da l’un canto;","and, as much as I can, I put him off in a corner;","e, per quanto posso, l'ho messo in un angolo;"
"E se d’amor gli mostro, si è finteza,","and if I show him affection, it’s all feigned.","e se gli mostro affetto, tutto finge."
Ma convien ch’i’ mi cuopra di quel manto:,But I must cover myself with that mantle:,Ma devo coprirmi con quel mantello:
"Per mostrar ch’i’ sia buon, lor fo careza.","to show that I am good, I give them attention.”","per dimostrare che sono buono, do loro attenzione."
