Original,Translate_IT
"Ora sen va per un secreto calle,","Ora va avanti, lungo un sentiero stretto"
"tra 'l muro de la terra e li martìri,","Tra i tormenti e le mura della città,"
"lo mio maestro, e io dopo le spalle.","Mio Maestro, e io gli seguo le spalle."
"“O virtù somma, che per li empi giri","""O potenza suprema, che attraverso questi circoli empi"
"mi volvi”, cominciai, “com'a te piace,","""Mi trasformi,"" cominciai, ""come ti piace,"
"parlami, e sodisfammi a' miei disiri.","Parlami, e i miei desideri saziano;"
La gente che per li sepolcri giace,"Le persone che giacciono in queste tombe,"
potrebbesi veder? già son levati,Potrebbero essere visti? già sono elevati
"tutt'i coperchi, e nessun guardia face”.","Tutte le coperte, e nessuno fa la guardia."""
E quelli a me: “Tutti saran serrati,"E lui a me: ""Tutti saranno chiusi"
quando di Iosafàt qui torneranno,Quando da Giòsafat ritorneranno
coi corpi che là sù hanno lasciati.,Qui con i corpi che hanno lasciato sopra.
Suo cimitero da questa parte hanno,Il loro cimitero ha da questo lato
"con Epicuro tutti suoi seguaci,","Con Epicurus tutti i suoi seguaci,"
che l'anima col corpo morta fanno.,che con il corpo mortale fanno l'anima;
Però a la dimanda che mi faci,"Ma nella domanda che mi hai posto,"
"quinc'entro satisfatto sarà tosto,","Qui dentro sarai presto soddisfatto,"
e al disio ancor che tu mi taci”.,"E anche nel desiderio tu taci."""
"E io: “Buon duca, non tegno riposto","E io: ""Buon Leader, ma tengo nascosto"
"a te mio cuor se non per dicer poco,","Da te il mio cuore, per parlare meno,"
e tu m'hai non pur mo a ciò disposto”.,"E non mi hai disposto solo ora."""
“O Tosco che per la città del foco,"""O toscano, tu che per la città del fuoco"
"vivo ten vai così parlando onesto,","Viva, parlando con modestia,"
piacciati di restare in questo loco.,Siate lieti di rimanere i vostri passi in questo posto.
La tua loquela ti fa manifesto,Il tuo modo di parlare ti rende manifesto
"di quella nobil patrïa natio,","Un nativo di quella nobile patria,"
a la qual forse fui troppo molesto”.,"A cui forse ero troppo molesto."""
Subitamente questo suono uscìo,All'improvviso ha emesso questo suono
"d'una de l'arche; però m'accostai,","Da uno dei sepolcri; per questo ho premuto,"
"temendo, un poco più al duca mio.","Temendo, un po' piu' vicino al mio Leader."
Ed el mi disse: “Volgiti! Che fai?,"E a me disse: ""Girati; che fai?"
Vedi là Farinata che s'è dritto:,"Ecco la Farinata che è risorta,"
da la cintola in sù tutto 'l vedrai”.,"Dalla vita in su lo vedrai per intero."""
Io avea già il mio viso nel suo fitto;,"Avevo gia' fissato gli occhi su di lui,"
ed el s'ergea col petto e con la fronte,E si solleva eretto con seno e davanti
com'avesse l'inferno a gran dispitto.,E' come se l'Inferno avesse avuto in grande nonostante.
E l'animose man del duca e pronte,E con mani coraggiose e sollecito il mio Leader
"mi pinser tra le sepulture a lui,","Tacciami tra i sepolcri verso di lui,"
dicendo: “Le parole tue sien conte”.,"Esclamando: ""Sia esplicita la tua parola."""
"Com'io al piè de la sua tomba fui,",Non appena sono stato ai piedi della sua tomba
"guardommi un poco, e poi, quasi sdegnoso,","Qualcosa che mi ha guardato, e, come se disdegnato,"
mi dimandò: “Chi fuor li maggior tui?”.,"Allora mi chiese: ""Chi erano i tuoi antenati?."""
"Io ch'era d'ubidir disideroso,","Io, che desideroso di obbedire,"
"non gliel celai, ma tutto gliel'apersi;","Non l'ha nascosta, ma gli è stato rivelato tutto."
ond'ei levò le ciglia un poco in suso;,Dove ha alzato un po' le sopracciglia.
poi disse: “Fieramente furo avversi,"Disse [Allah]: ""Sono stati ingiusti"
"a me e a miei primi e a mia parte,","a me, ai miei padri e al mio partito;"
sì che per due fïate li dispersi”.,"Così due volte le ho disperse."""
