Original,Translate_IT
Vago già di cercar dentro e dintorno,Per fare il suo corso attraverso l'acqua più liscia
"la divina foresta spessa e viva,","la piccola corteccia del mio spirito ora arrampica la sua vela,"
"ch'a li occhi temperava il novo giorno,",lasciando alle spalle quel mare crudele.
"sanza più aspettar, lasciai la riva,","Ora canterò il secondo regno,"
prendendo la campagna lento lento,"là dove l'anima dell'uomo è purificata,"
su per lo suol che d'ogne parte auliva.,resa degna di ascendere al Cielo.
"Un'aura dolce, sanza mutamento","Qui dai morti la poesia si alzi,"
"avere in sé, mi feria per la fronte","O Muse sacre, da quando sono vostra."
non di più colpo che soave vento;,Lasciate che Calliope si alzi.
"per cui le fronde, tremolando, pronte",per accompagnare la mia canzone con quegli stessi accordi
tutte quante piegavano a la parte,la cui forza colpì così le miserabili magpie
u' la prim'ombra gitta il santo monte;,"che, ascoltando, hanno perso ogni speranza di perdono."
non però dal loro esser dritto sparte,"Colore dolce dello zaffiro orientale,"
"tanto, che li augelletti per le cime",aleggiando nell'aspetto calmo e tranquillo
lasciasser d'operare ogne lor arte;,"d'aria intervenente, pura all'orizzonte,"
"ma con piena letizia l'ore prime,",mi sono compiaciuto ancora una volta dei miei occhi
"cantando, ricevieno intra le foglie,",non appena ho lasciato l'aria morbosa
"che tenevan bordone a le sue rime,",che aveva afflitto sia il mio petto che gli occhi.
tal qual di ramo in ramo si raccoglie,"Il pianeta giusto che incoraggia l'amore,"
"per la pineta in su 'l lito di Chiassi,","sorridente, illuminato a est,"
quand'Ëolo scilocco fuor discioglie.,velando i pesci nel suo treno.
Già m'avean trasportato i lenti passi,"Mi voltai a destra e, fissando la mia attenzione"
"dentro a la selva antica tanto, ch'io","sull'altro polo, ho visto quattro stelle"
non potea rivedere ond'io mi 'ntrassi;,"non visti, ma dai primi sulla terra."
"ed ecco più andar mi tolse un rio,",Il cielo stesso sembrava gioire
che 'nver' sinistra con sue picciole onde,nel loro splendente luccichio. O vedova
piegava l'erba che 'n sua ripa uscìo.,"regione del nord, negata quella vista!"
"Tutte l'acque che son di qua più monde,","Una volta che ho attirato il mio sguardo da loro,"
parrieno avere in sé mistura alcuna,girare a malapena verso l'altro polo
"verso di quella, che nulla nasconde,","dove era posta la costellazione del fiume,"
avvegna che si mova bruna bruna,"Ho visto accanto a me un vecchio, da solo,"
"sotto l'ombra perpetüa, che mai",che dal suo aspetto era così meritevole di rispetto
raggiar non lascia sole ivi né luna.,che nessun figlio deve di più a suo padre.
Coi piè ristetti e con li occhi passai,"La sua barba era lunga e striata di bianco,"
"di là dal fiumicello, per mirare","come i suoi capelli, che cadde"
la gran varïazion d'i freschi mai;,in doppi fili fino al petto.
"e là m'apparve, sì com'elli appare",I raggi di quelle quattro stelle sante
subitamente cosa che disvia,adornava il suo viso con tanta luce
"per maraviglia tutto altro pensare,",Sembrava splendere con la luminosità del sole.
una donna soletta che si gia,"Quali anime sei tu per essere fuggito dall'eterna prigione,"
e cantando e scegliendo fior da fiore,arrampicarsi contro il ruscello oscuro e nascosto?
ond'era pinta tutta la sua via.,"chiese, scuotendo quelle venerate serrature."
"“Deh, bella donna, che a' raggi d'amore",'Chi era la tua guida o chi la tua lanterna
"ti scaldi, s'i' vo' credere a' sembianti",per condurvi fuori da quella notte profonda
"che soglion esser testimon del core,",quale ripida la valle dell'Inferno nelle tenebre?
"vegnati in voglia di trarreti avanti”,","Le leggi dell'abisso sono così infrante,"
"diss'io a lei, “verso questa rivera,","o è stato fatto un nuovo decreto in cielo,"
tanto ch'io possa intender che tu canti.,"che, dannazione, stai davanti alle mie scogliere?"""
Tu mi fai rimembrar dove e qual era,Il mio capo mi ha poi contattato.
Proserpina nel tempo che perdette,e con le sue parole e segni e con le sue mani
"la madre lei, ed ella primavera”.","mi ha fatto mostrare riverenza con il ginocchio e la fronte,"
"Come si volge, con le piante strette","Allora gli rispose: ""Non sono venuto da solo."
"a terra e intra sé, donna che balli,",Una donna discesa dal Cielo e su sua richiesta
"e piede innanzi piede a pena mette,",Ho prestato a quest'uomo compagnia e aiuto.
